,inputs,energy
0,"[0.5000000000000001, 0.44932896411722156, 0.44932896411722156]",3.4696043909965693
1,"[0.5000000000000001, 0.44932896411722156, 0.44043165450599925]",3.2045305700466313
2,"[0.5000000000000001, 0.44932896411722156, 0.4317105234290797]",2.982253999532142
3,"[0.5000000000000001, 0.44932896411722156, 0.42316208231774877]",2.797578577136253
4,"[0.5000000000000001, 0.44932896411722156, 0.4147829116815813]",2.645952310327837
5,"[0.5000000000000001, 0.44932896411722156, 0.40656965974059905]",2.5233832349312504
6,"[0.5000000000000001, 0.44932896411722156, 0.39851904108451414]",2.4263663317849447
7,"[0.5000000000000001, 0.44932896411722156, 0.390627835358521]",2.3518200974982597
8,"[0.5000000000000001, 0.44932896411722156, 0.38289288597511195]",2.2970315670646064
9,"[0.5000000000000001, 0.44932896411722156, 0.37531109885139946]",2.259608716315228
10,"[0.5000000000000001, 0.44932896411722156, 0.3678794411714422]",2.2374392914205092
11,"[0.5000000000000001, 0.44932896411722156, 0.3605949401730782]",2.228655221411359
12,"[0.5000000000000001, 0.44932896411722156, 0.35345468195878005]",2.231601868570951
13,"[0.5000000000000001, 0.44932896411722156, 0.34645581033005735]",2.244811461120634
14,"[0.5000000000000001, 0.44932896411722156, 0.33959552564493906]",2.266980133482164
15,"[0.5000000000000001, 0.44932896411722156, 0.33287108369807944]",2.2969480721269924
16,"[0.5000000000000001, 0.44932896411722156, 0.32627979462303935]",2.333682330195988
17,"[0.5000000000000001, 0.44932896411722156, 0.3198190218163038]",2.376261932245862
18,"[0.5000000000000001, 0.44932896411722156, 0.3134861808826052]",2.423864942186276
19,"[0.5000000000000001, 0.44932896411722156, 0.30727873860113114]",2.4757572132247696
20,"[0.5000000000000001, 0.44043165450599925, 0.44932896411722156]",3.2045305700466313
21,"[0.5000000000000001, 0.44043165450599925, 0.44043165450599925]",2.9416152204819648
22,"[0.5000000000000001, 0.44043165450599925, 0.4317105234290797]",2.721365830636242
23,"[0.5000000000000001, 0.44043165450599925, 0.42316208231774877]",2.538588477011748
24,"[0.5000000000000001, 0.44043165450599925, 0.4147829116815813]",2.388735209196469
25,"[0.5000000000000001, 0.44043165450599925, 0.40656965974059905]",2.2678195653233684
26,"[0.5000000000000001, 0.44043165450599925, 0.39851904108451414]",2.172343113611014
27,"[0.5000000000000001, 0.44043165450599925, 0.390627835358521]",2.0992316832886
28,"[0.5000000000000001, 0.44043165450599925, 0.38289288597511195]",2.0457800872124694
29,"[0.5000000000000001, 0.44043165450599925, 0.37531109885139946]",2.0096042663330578
30,"[0.5000000000000001, 0.44043165450599925, 0.3678794411714422]",1.988599903425554
