,inputs,energy
0,"[0.5000000000000001, 0.44932896411722156, 0.44932896411722156]",3.4696043909965693
1,"[0.5000000000000001, 0.44932896411722156, 0.4317105234290797]",2.982253999532142
2,"[0.5000000000000001, 0.44932896411722156, 0.42316208231774877]",2.797578577136253
3,"[0.5000000000000001, 0.44932896411722156, 0.4147829116815813]",2.645952310327837
4,"[0.5000000000000001, 0.44932896411722156, 0.40656965974059905]",2.5233832349312504
5,"[0.5000000000000001, 0.44932896411722156, 0.39851904108451414]",2.4263663317849447
6,"[0.5000000000000001, 0.44932896411722156, 0.390627835358521]",2.3518200974982597
7,"[0.5000000000000001, 0.44932896411722156, 0.37531109885139946]",2.259608716315228
8,"[0.5000000000000001, 0.44932896411722156, 0.3678794411714422]",2.2374392914205092
9,"[0.5000000000000001, 0.44932896411722156, 0.3605949401730782]",2.228655221411359
10,"[0.5000000000000001, 0.44932896411722156, 0.35345468195878005]",2.231601868570951
11,"[0.5000000000000001, 0.44932896411722156, 0.33959552564493906]",2.266980133482164
12,"[0.5000000000000001, 0.44932896411722156, 0.33287108369807944]",2.2969480721269924
13,"[0.5000000000000001, 0.44932896411722156, 0.32627979462303935]",2.333682330195988
14,"[0.5000000000000001, 0.44932896411722156, 0.3198190218163038]",2.376261932245862
15,"[0.5000000000000001, 0.44932896411722156, 0.3134861808826052]",2.423864942186276
16,"[0.5000000000000001, 0.44932896411722156, 0.30727873860113114]",2.4757572132247696
17,"[0.5000000000000001, 0.44043165450599925, 0.44932896411722156]",3.2045305700466313
18,"[0.5000000000000001, 0.44043165450599925, 0.44043165450599925]",2.9416152204819648
19,"[0.5000000000000001, 0.44043165450599925, 0.4317105234290797]",2.721365830636242
20,"[0.5000000000000001, 0.44043165450599925, 0.4147829116815813]",2.388735209196469
21,"[0.5000000000000001, 0.44043165450599925, 0.40656965974059905]",2.2678195653233684
22,"[0.5000000000000001, 0.44043165450599925, 0.39851904108451414]",2.172343113611014
23,"[0.5000000000000001, 0.44043165450599925, 0.390627835358521]",2.0992316832886
24,"[0.5000000000000001, 0.44043165450599925, 0.38289288597511195]",2.0457800872124694
25,"[0.5000000000000001, 0.44043165450599925, 0.37531109885139946]",2.0096042663330578
26,"[0.5000000000000001, 0.44043165450599925, 0.3678794411714422]",1.988599903425554
27,"[0.5000000000000001, 0.44043165450599925, 0.3605949401730782]",1.98090666070514
28,"[0.5000000000000001, 0.44043165450599925, 0.35345468195878005]",1.9848772936577204
29,"[0.5000000000000001, 0.44043165450599925, 0.33959552564493906]",2.0221303004591724
30,"[0.5000000000000001, 0.44043165450599925, 0.3134861808826052]",2.182232259777638
31,"[0.5000000000000001, 0.44043165450599925, 0.30727873860113114]",2.234844754752076
32,"[0.5000000000000001, 0.4317105234290797, 0.44932896411722156]",2.982253999532142
33,"[0.5000000000000001, 0.4317105234290797, 0.44043165450599925]",2.721365830636242
34,"[0.5000000000000001, 0.4317105234290797, 0.4317105234290797]",2.503039470990096
35,"[0.5000000000000001, 0.4317105234290797, 0.40656965974059905]",2.0546402177542062
36,"[0.5000000000000001, 0.4317105234290797, 0.39851904108451414]",1.9606808629674264
37,"[0.5000000000000001, 0.4317105234290797, 0.390627835358521]",1.8889944487272563
38,"[0.5000000000000001, 0.4317105234290797, 0.38289288597511195]",1.8368811993445544
39,"[0.5000000000000001, 0.4317105234290797, 0.3678794411714422]",1.7821410480986006
40,"[0.5000000000000001, 0.4317105234290797, 0.3605949401730782]",1.7755614426792097
41,"[0.5000000000000001, 0.4317105234290797, 0.32627979462303935]",1.889900748874611
42,"[0.5000000000000001, 0.4317105234290797, 0.3198190218163038]",1.9340762594351952
43,"[0.5000000000000001, 0.4317105234290797, 0.3134861808826052]",1.9832070183474877
44,"[0.5000000000000001, 0.42316208231774877, 0.44932896411722156]",2.797578577136253
45,"[0.5000000000000001, 0.42316208231774877, 0.4147829116815813]",1.9963702343160992
46,"[0.5000000000000001, 0.42316208231774877, 0.40656965974059905]",1.8786369452273977
47,"[0.5000000000000001, 0.42316208231774877, 0.390627835358521]",1.7158849775787748
48,"[0.5000000000000001, 0.42316208231774877, 0.37531109885139946]",1.6314438034347538
49,"[0.5000000000000001, 0.42316208231774877, 0.3678794411714422]",1.6128131828836711
50,"[0.5000000000000001, 0.42316208231774877, 0.3605949401730782]",1.6073611624486372
51,"[0.5000000000000001, 0.42316208231774877, 0.35345468195878005]",1.6134507766678747
52,"[0.5000000000000001, 0.42316208231774877, 0.33959552564493906]",1.6546145638760834
53,"[0.5000000000000001, 0.42316208231774877, 0.32627979462303935]",1.7265360038735729
54,"[0.5000000000000001, 0.42316208231774877, 0.3198190218163038]",1.771546232474281
55,"[0.5000000000000001, 0.42316208231774877, 0.3134861808826052]",1.821475829128487
56,"[0.5000000000000001, 0.42316208231774877, 0.30727873860113114]",1.8756005808426504
57,"[0.5000000000000001, 0.4147829116815813, 0.44932896411722156]",2.645952310327837
58,"[0.5000000000000001, 0.4147829116815813, 0.4317105234290797]",2.173941888719979
59,"[0.5000000000000001, 0.4147829116815813, 0.4147829116815813]",1.8514693440851624
60,"[0.5000000000000001, 0.4147829116815813, 0.40656965974059905]",1.735254232704181
61,"[0.5000000000000001, 0.4147829116815813, 0.39851904108451414]",1.6442315781027377
62,"[0.5000000000000001, 0.4147829116815813, 0.390627835358521]",1.5753351976222392
63,"[0.5000000000000001, 0.4147829116815813, 0.37531109885139946]",1.4934638698244966
64,"[0.5000000000000001, 0.4147829116815813, 0.3678794411714422]",1.4760249956606493
65,"[0.5000000000000001, 0.4147829116815813, 0.3605949401730782]",1.4717063716182095
66,"[0.5000000000000001, 0.4147829116815813, 0.35345468195878005]",1.478874151895052
67,"[0.5000000000000001, 0.4147829116815813, 0.34645581033005735]",1.4960807394432267
68,"[0.5000000000000001, 0.4147829116815813, 0.33959552564493906]",1.5220415104452796
69,"[0.5000000000000001, 0.4147829116815813, 0.3198190218163038]",1.641644471792123
70,"[0.5000000000000001, 0.4147829116815813, 0.3134861808826052]",1.6923874665407144
71,"[0.5000000000000001, 0.4147829116815813, 0.30727873860113114]",1.7472916996406265
72,"[0.5000000000000001, 0.40656965974059905, 0.44932896411722156]",2.5233832349312504
73,"[0.5000000000000001, 0.40656965974059905, 0.44043165450599925]",2.2678195653233684
74,"[0.5000000000000001, 0.40656965974059905, 0.4317105234290797]",2.0546402177542062
75,"[0.5000000000000001, 0.40656965974059905, 0.42316208231774877]",1.8786369452273977
76,"[0.5000000000000001, 0.40656965974059905, 0.40656965974059905]",1.620503846956349
77,"[0.5000000000000001, 0.40656965974059905, 0.39851904108451414]",1.5308904198690756
78,"[0.5000000000000001, 0.40656965974059905, 0.390627835358521]",1.4633467589302736
79,"[0.5000000000000001, 0.40656965974059905, 0.38289288597511195]",1.41517771059578
80,"[0.5000000000000001, 0.40656965974059905, 0.3678794411714422]",1.3677577685512046
81,"[0.5000000000000001, 0.40656965974059905, 0.3605949401730782]",1.3645709786296956
82,"[0.5000000000000001, 0.40656965974059905, 0.35345468195878005]",1.3728192562632984
83,"[0.5000000000000001, 0.40656965974059905, 0.33959552564493906]",1.4180025088777923
84,"[0.5000000000000001, 0.40656965974059905, 0.3198190218163038]",1.5403028121929798
85,"[0.5000000000000001, 0.40656965974059905, 0.3134861808826052]",1.5918677042156162
86,"[0.5000000000000001, 0.40656965974059905, 0.30727873860113114]",1.6475592477799037
87,"[0.5000000000000001, 0.39851904108451414, 0.44932896411722156]",2.4263663317849447
88,"[0.5000000000000001, 0.39851904108451414, 0.4317105234290797]",1.9606808629674264
89,"[0.5000000000000001, 0.39851904108451414, 0.42316208231774877]",1.786164130762485
90,"[0.5000000000000001, 0.39851904108451414, 0.4147829116815813]",1.6442315781027377
91,"[0.5000000000000001, 0.39851904108451414, 0.40656965974059905]",1.5308904198690756
92,"[0.5000000000000001, 0.39851904108451414, 0.390627835358521]",1.3764164157575736
93,"[0.5000000000000001, 0.39851904108451414, 0.38289288597511195]",1.329517370346338
94,"[0.5000000000000001, 0.39851904108451414, 0.37531109885139946]",1.2995722914907988
95,"[0.5000000000000001, 0.39851904108451414, 0.3678794411714422]",1.2844906912440524
96,"[0.5000000000000001, 0.39851904108451414, 0.3605949401730782]",1.282427581277542
97,"[0.5000000000000001, 0.39851904108451414, 0.35345468195878005]",1.2917519812768994
98,"[0.5000000000000001, 0.39851904108451414, 0.34645581033005735]",1.3110197479181676
