theta r1 r2 energy dipole_x dipole_y
105.00000000 0.98000000 0.95000000 -76.19769220 0.74737298 0.00954757 
105.00000000 1.08000000 0.95000000 -76.18745754 0.75718061 0.03820904 
103.00000000 0.93000000 0.93000000 -76.19594428 0.75067360 0.00000000 
105.00000000 0.97000000 0.95000000 -76.19794847 0.74628175 0.00640532 
103.00000000 0.98000000 0.98000000 -76.19751433 0.76193711 0.00000003 
103.00000000 1.01000000 1.01000000 -76.19420986 0.76768447 -0.00000001 
103.00000000 1.03000000 1.03000000 -76.19061702 0.77103505 0.00000000 
103.00000000 0.95000000 0.95000000 -76.19778793 0.75540964 0.00000000 
105.00000000 0.95000000 0.95000000 -76.19790119 0.74406139 0.00000001 
107.00000000 0.95000000 0.95000000 -76.19781020 0.73242268 0.00000000 
101.00000000 0.95000000 0.95000000 -76.19746345 0.76647946 0.00000000 
104.00000000 0.95000000 0.95000000 -76.19787053 0.74977119 0.00000000 
106.00000000 0.95000000 0.95000000 -76.19788078 0.73827936 -0.00000001 
102.00000000 0.95000000 0.95000000 -76.19765252 0.76097825 0.00000000 
106.00000000 0.93000000 0.95000000 -76.19701686 0.73604879 -0.00674674 
102.00000000 0.93000000 0.95000000 -76.19670483 0.75863875 -0.00597983 
108.00000000 0.93000000 0.95000000 -76.19686573 0.72431621 -0.00713983 
112.00000000 0.93000000 0.95000000 -76.19598659 0.69990486 -0.00794593 
106.00000000 0.91000000 0.95000000 -76.19519512 0.73379460 -0.01362341 
102.00000000 0.91000000 0.95000000 -76.19479893 0.75627037 -0.01209470 
108.00000000 0.91000000 0.95000000 -76.19508349 0.72212070 -0.01440662 
112.00000000 0.91000000 0.95000000 -76.19427885 0.69782914 -0.01601163 
106.00000000 0.91000000 0.98000000 -76.19492313 0.73741012 -0.02348620 
102.00000000 0.91000000 0.98000000 -76.19466116 0.76002442 -0.02080113 
104.87065000  0.96469900  0.96469900 -76.19812950 0.74802019 0.00000000
110.00000000  0.95000000  0.95000000 -76.19730663 0.71438942 0.00000002
104.30540000 0.95870000 0.95870000 -76.19813326 0.74997239 0.00000003
105.00000000 0.95000000 0.94000000 -76.19757092 0.74293594 0.00325876
111.00000000 0.95000000 0.95000000 -76.19704465 0.70821782 0.00000000
105.50000000 0.95000000 0.95000000 -76.19789731 0.74117978 0.00000000
104.30350000 0.95870000 0.95870000 -76.19813321 0.74998315 0.00000000
109.00000000 0.95000000 0.95000000 -76.19752219 0.72047871 0.00000000
104.38500000 0.95877000 0.95877000 -76.19813567 0.74953228 0.00000000
104.60000000 0.96500000 0.96500000 -76.19812868 0.74964523 0.00000000           
104.00000000 0.96000000 0.96000000 -76.19813603 0.75200105 0.00000000
104.00000000 1.03000000 0.95000000 -76.19412859 0.75838173 0.02379172
104.00000000 1.03000000 1.00000000 -76.19305773 0.76276150 0.00854436
104.36180000 0.95896000 0.95896000 -76.19813722 0.74970651 0.00000000
107.00000000 0.96500000 0.96500000 -76.19797274 0.73561626 0.00000000
104.30500000 0.96200000 0.96200000 -76.19814929 0.75069398 0.00000000
104.30500000 0.95300000 0.95300000 -76.19800521 0.74871137 0.00000000
109.00000000 0.90000000 0.90000000 -76.18990067 0.70895718 0.00000000
109.00000000 1.00000000 1.00000000 -76.19477810 0.73009722 0.00000000
104.20000000 0.93000000 0.93000000 -76.19608881 0.74396235 0.00000000
104.50000000 0.93000000 0.93000000 -76.19611302 0.74226895 0.00000000
115.00000000 0.95000000 0.95000000 -76.19555241 0.68268267 0.00000000
120.00000000 0.95000000 0.95000000 -76.19276622 0.64871233 0.00000000
125.00000000 0.95000000 0.95000000 -76.18908924 0.61223728     0.00000000
130.00000000 0.95000000 0.95000000 -76.18467784 0.57300437     0.00000000
135.00000000 0.95000000 0.95000000 -76.17970487 0.53076173     0.00000000
140.00000000 0.95000000 0.95000000 -76.17436037 0.48525936     0.00000000
145.00000000 0.95000000 0.95000000 -76.16885114 0.43627904     0.00000000
150.00000000 0.95000000 0.95000000 -76.16339858 0.38365121     0.00000000
155.00000000 0.95000000 0.95000000 -76.15823420 0.32730467     0.00000000
160.00000000 0.95000000 0.95000000 -76.15359185 0.26731214     0.00000000
165.00000000 0.95000000 0.95000000 -76.14969643 0.20394725     0.00000000
170.00000000 0.95000000 0.95000000 -76.14674920 0.13772582     0.00000000
175.00000000 0.95000000 0.95000000 -76.14491096 0.06941560     0.00000000
180.00000000 0.95000000 0.95000000 -76.14428613 0.00000000     0.00000000
100.00000000 0.95000000 0.95000000 -76.19721988 0.77191452     0.00000000
 95.00000000 0.95000000 0.95000000 -76.19515584 0.79814863     0.00000000
 90.00000000 0.95000000 0.95000000 -76.19160900 0.82294864     0.00000000
 85.00000000 0.95000000 0.95000000 -76.18648273 0.84647838     0.00000000
 80.00000000 0.95000000 0.95000000 -76.17967884 0.86887423     0.00000000
 75.00000000 0.95000000 0.95000000 -76.17108921 0.89022592     0.00000000
 70.00000000 0.95000000 0.95000000 -76.16058045 0.91055607     0.00000000
 65.00000000 0.95000000 0.95000000 -76.14796536 0.92977528     0.00000000
 60.00000000 0.95000000 0.95000000 -76.13294892 0.94762971     0.00000000
