,theta,r1,r2,energy
0,1.0471975511965976,0.800,0.800,34696.043909965694
1,1.0471975511965976,0.800,0.820,32045.305700466313
2,1.0471975511965976,0.800,0.840,29822.539995321422
3,1.0471975511965976,0.800,0.860,27975.78577136253
4,1.0471975511965976,0.800,0.880,26459.52310327837
5,1.0471975511965976,0.800,0.900,25233.832349312503
6,1.0471975511965976,0.800,0.920,24263.66331784945
7,1.0471975511965976,0.800,0.940,23518.200974982596
8,1.0471975511965976,0.800,0.960,22970.315670646065
9,1.0471975511965976,0.800,0.980,22596.08716315228
10,1.0471975511965976,0.800,1.000,22374.39291420509
11,1.0471975511965976,0.800,1.020,22286.552214113588
12,1.0471975511965976,0.800,1.040,22316.01868570951
13,1.0471975511965976,0.800,1.060,22448.11461120634
14,1.0471975511965976,0.800,1.080,22669.80133482164
15,1.0471975511965976,0.800,1.100,22969.480721269923
16,1.0471975511965976,0.800,1.120,23336.82330195988
17,1.0471975511965976,0.800,1.140,23762.619322458617
18,1.0471975511965976,0.800,1.160,24238.649421862763
19,1.0471975511965976,0.800,1.180,24757.572132247697
20,1.0471975511965976,0.820,0.800,32045.305700466313
21,1.0471975511965976,0.820,0.820,29416.15220481965
22,1.0471975511965976,0.820,0.840,27213.65830636242
23,1.0471975511965976,0.820,0.860,25385.884770117482
24,1.0471975511965976,0.820,0.880,23887.35209196469
25,1.0471975511965976,0.820,0.900,22678.195653233684
26,1.0471975511965976,0.820,0.920,21723.431136110143
27,1.0471975511965976,0.820,0.940,20992.316832886
28,1.0471975511965976,0.820,0.960,20457.800872124695
29,1.0471975511965976,0.820,0.980,20096.042663330576
30,1.0471975511965976,0.820,1.000,19885.99903425554
31,1.0471975511965976,0.820,1.020,19809.066607051398
32,1.0471975511965976,0.820,1.040,19848.772936577203
33,1.0471975511965976,0.820,1.060,19990.509821776934
34,1.0471975511965976,0.820,1.080,20221.303004591726
35,1.0471975511965976,0.820,1.100,20529.613195715232
36,1.0471975511965976,0.820,1.120,20905.16401787839
37,1.0471975511965976,0.820,1.140,21338.79304034017
38,1.0471975511965976,0.820,1.160,21822.32259777638
39,1.0471975511965976,0.820,1.180,22348.447547520762
40,1.0471975511965976,0.840,0.800,29822.539995321422
41,1.0471975511965976,0.840,0.820,27213.65830636242
42,1.0471975511965976,0.840,0.840,25030.39470990096
43,1.0471975511965976,0.840,0.860,23220.803963267885
44,1.0471975511965976,0.840,0.880,21739.41888719979
45,1.0471975511965976,0.840,0.900,20546.402177542062
46,1.0471975511965976,0.840,0.920,19606.808629674262
47,1.0471975511965976,0.840,0.940,18889.944487272565
48,1.0471975511965976,0.840,0.960,18368.811993445546
49,1.0471975511965976,0.840,0.980,18019.628479526793
50,1.0471975511965976,0.840,1.000,17821.410480986007
51,1.0471975511965976,0.840,1.020,17755.614426792097
52,1.0471975511965976,0.840,1.040,17805.826413646468
53,1.0471975511965976,0.840,1.060,17957.494455128144
54,1.0471975511965976,0.840,1.080,18197.697393114562
55,1.0471975511965976,0.840,1.100,18514.945379866775
56,1.0471975511965976,0.840,1.120,18899.00748874611
57,1.0471975511965976,0.840,1.140,19340.762594351952
58,1.0471975511965976,0.840,1.160,19832.070183474876
59,1.0471975511965976,0.840,1.180,20365.65822102937
60,1.0471975511965976,0.860,0.800,27975.78577136253
61,1.0471975511965976,0.860,0.820,25385.884770117482
62,1.0471975511965976,0.860,0.840,23220.803963267885
63,1.0471975511965976,0.860,0.860,21428.56929401443
64,1.0471975511965976,0.860,0.880,19963.702343160992
65,1.0471975511965976,0.860,0.900,18786.369452273975
66,1.0471975511965976,0.860,0.920,17861.64130762485
67,1.0471975511965976,0.860,0.940,17158.84977578775
68,1.0471975511965976,0.860,0.960,16651.03012863214
69,1.0471975511965976,0.860,0.980,16314.438034347539
70,1.0471975511965976,0.860,1.000,16128.131828836711
71,1.0471975511965976,0.860,1.020,16073.611624486373
72,1.0471975511965976,0.860,1.040,16134.507766678747
73,1.0471975511965976,0.860,1.060,16296.312017778822
74,1.0471975511965976,0.860,1.080,16546.145638760834
75,1.0471975511965976,0.860,1.100,16872.55925491017
76,1.0471975511965976,0.860,1.120,17265.36003873573
77,1.0471975511965976,0.860,1.140,17715.46232474281
78,1.0471975511965976,0.860,1.160,18214.75829128487
79,1.0471975511965976,0.860,1.180,18756.005808426504
80,1.0471975511965976,0.880,0.800,26459.52310327837
81,1.0471975511965976,0.880,0.820,23887.35209196469
82,1.0471975511965976,0.880,0.840,21739.41888719979
83,1.0471975511965976,0.880,0.860,19963.702343160992
84,1.0471975511965976,0.880,0.880,18514.693440851624
85,1.0471975511965976,0.880,0.900,17352.54232704181
86,1.0471975511965976,0.880,0.920,16442.315781027377
87,1.0471975511965976,0.880,0.940,15753.351976222391
88,1.0471975511965976,0.880,0.960,15258.700734925624
89,1.0471975511965976,0.880,0.980,14934.638698244966
90,1.0471975511965976,0.880,1.000,14760.249956606493
91,1.0471975511965976,0.880,1.020,14717.063716182094
92,1.0471975511965976,0.880,1.040,14788.74151895052
93,1.0471975511965976,0.880,1.060,14960.807394432268
94,1.0471975511965976,0.880,1.080,15220.415104452795
95,1.0471975511965976,0.880,1.100,15556.147353280972
96,1.0471975511965976,0.880,1.120,15957.842478574328
97,1.0471975511965976,0.880,1.140,16416.44471792123
98,1.0471975511965976,0.880,1.160,16923.874665407144
99,1.0471975511965976,0.880,1.180,17472.916996406264
100,1.0471975511965976,0.900,0.800,25233.832349312503
101,1.0471975511965976,0.900,0.820,22678.195653233684
102,1.0471975511965976,0.900,0.840,20546.402177542062
103,1.0471975511965976,0.900,0.860,18786.369452273975
104,1.0471975511965976,0.900,0.880,17352.54232704181
105,1.0471975511965976,0.900,0.900,16205.038469563491
106,1.0471975511965976,0.900,0.920,15308.904198690756
107,1.0471975511965976,0.900,0.940,14633.467589302736
108,1.0471975511965976,0.900,0.960,14151.777105957799
109,1.0471975511965976,0.900,0.980,13840.115233644168
110,1.0471975511965976,0.900,1.000,13677.577685512046
111,1.0471975511965976,0.900,1.020,13645.709786296957
112,1.0471975511965976,0.900,1.040,13728.192562632983
113,1.0471975511965976,0.900,1.060,13910.571923298558
114,1.0471975511965976,0.900,1.080,14180.025088777924
115,1.0471975511965976,0.900,1.100,14525.159135048234
116,1.0471975511965976,0.900,1.120,14935.83715555097
117,1.0471975511965976,0.900,1.140,15403.028121929798
118,1.0471975511965976,0.900,1.160,15918.677042156161
119,1.0471975511965976,0.900,1.180,16475.592477799037
120,1.0471975511965976,0.920,0.800,24263.66331784945
121,1.0471975511965976,0.920,0.820,21723.431136110143
122,1.0471975511965976,0.920,0.840,19606.808629674262
123,1.0471975511965976,0.920,0.860,17861.64130762485
124,1.0471975511965976,0.920,0.880,16442.315781027377
125,1.0471975511965976,0.920,0.900,15308.904198690756
126,1.0471975511965976,0.920,0.920,14426.418881789983
127,1.0471975511965976,0.920,0.940,13764.164157575735
128,1.0471975511965976,0.920,0.960,13295.173703463379
