,theta,r1,r2,energy
0,1.0471975511965976,0.8,0.8,34696.043909965694
1,1.0471975511965976,0.8,0.82,32045.305700466313
2,1.0471975511965976,0.8,0.86,27975.78577136253
3,1.0471975511965976,0.8,0.9,25233.832349312503
4,1.0471975511965976,0.8,0.92,24263.66331784945
5,1.0471975511965976,0.8,1.0,22374.39291420509
6,1.0471975511965976,0.8,1.02,22286.552214113588
7,1.0471975511965976,0.8,1.04,22316.01868570951
8,1.0471975511965976,0.8,1.06,22448.11461120634
9,1.0471975511965976,0.8,1.08,22669.80133482164
10,1.0471975511965976,0.8,1.1,22969.480721269923
11,1.0471975511965976,0.8,1.16,24238.649421862763
12,1.0471975511965976,0.82,0.8,32045.305700466313
13,1.0471975511965976,0.82,0.82,29416.15220481965
14,1.0471975511965976,0.82,0.84,27213.65830636242
15,1.0471975511965976,0.82,0.86,25385.88477011748
16,1.0471975511965976,0.82,0.88,23887.35209196469
17,1.0471975511965976,0.82,0.9,22678.195653233684
18,1.0471975511965976,0.82,0.92,21723.431136110143
19,1.0471975511965976,0.82,0.94,20992.316832886
20,1.0471975511965976,0.82,0.96,20457.800872124695
21,1.0471975511965976,0.82,1.0,19885.99903425554
22,1.0471975511965976,0.82,1.02,19809.0666070514
23,1.0471975511965976,0.82,1.04,19848.772936577203
24,1.0471975511965976,0.82,1.06,19990.509821776937
25,1.0471975511965976,0.82,1.12,20905.16401787839
26,1.0471975511965976,0.82,1.16,21822.32259777638
27,1.0471975511965976,0.82,1.18,22348.44754752076
28,1.0471975511965976,0.84,0.8,29822.539995321426
29,1.0471975511965976,0.84,0.82,27213.65830636242
30,1.0471975511965976,0.84,0.84,25030.39470990096
31,1.0471975511965976,0.84,0.86,23220.803963267885
32,1.0471975511965976,0.84,0.88,21739.41888719979
33,1.0471975511965976,0.84,0.9,20546.402177542062
34,1.0471975511965976,0.84,0.92,19606.808629674262
35,1.0471975511965976,0.84,0.94,18889.944487272565
36,1.0471975511965976,0.84,0.96,18368.811993445543
37,1.0471975511965976,0.84,0.98,18019.628479526793
38,1.0471975511965976,0.84,1.0,17821.410480986007
39,1.0471975511965976,0.84,1.02,17755.614426792097
40,1.0471975511965976,0.84,1.04,17805.826413646468
41,1.0471975511965976,0.84,1.06,17957.494455128144
42,1.0471975511965976,0.84,1.08,18197.69739311456
43,1.0471975511965976,0.84,1.1,18514.945379866775
44,1.0471975511965976,0.84,1.12,18899.00748874611
45,1.0471975511965976,0.84,1.16,19832.070183474876
46,1.0471975511965976,0.86,0.8,27975.78577136253
47,1.0471975511965976,0.86,0.84,23220.803963267885
48,1.0471975511965976,0.86,0.86,21428.56929401443
49,1.0471975511965976,0.86,0.9,18786.369452273975
50,1.0471975511965976,0.86,0.92,17861.64130762485
51,1.0471975511965976,0.86,0.96,16651.03012863214
52,1.0471975511965976,0.86,1.02,16073.611624486372
53,1.0471975511965976,0.86,1.04,16134.507766678747
54,1.0471975511965976,0.86,1.06,16296.312017778822
55,1.0471975511965976,0.86,1.08,16546.145638760834
56,1.0471975511965976,0.86,1.1,16872.55925491017
57,1.0471975511965976,0.86,1.12,17265.36003873573
58,1.0471975511965976,0.86,1.14,17715.46232474281
59,1.0471975511965976,0.86,1.18,18756.005808426504
60,1.0471975511965976,0.88,0.8,26459.52310327837
61,1.0471975511965976,0.88,0.82,23887.35209196469
62,1.0471975511965976,0.88,0.84,21739.41888719979
63,1.0471975511965976,0.88,0.88,18514.693440851624
64,1.0471975511965976,0.88,0.9,17352.54232704181
65,1.0471975511965976,0.88,0.94,15753.351976222391
66,1.0471975511965976,0.88,0.98,14934.638698244966
67,1.0471975511965976,0.88,1.06,14960.807394432268
68,1.0471975511965976,0.88,1.08,15220.415104452795
69,1.0471975511965976,0.88,1.1,15556.147353280972
70,1.0471975511965976,0.88,1.12,15957.842478574328
71,1.0471975511965976,0.88,1.14,16416.44471792123
72,1.0471975511965976,0.88,1.18,17472.916996406264
73,1.0471975511965976,0.9,0.82,22678.195653233684
74,1.0471975511965976,0.9,0.88,17352.54232704181
75,1.0471975511965976,0.9,0.9,16205.038469563491
76,1.0471975511965976,0.9,0.96,14151.7771059578
77,1.0471975511965976,0.9,0.98,13840.115233644168
78,1.0471975511965976,0.9,1.02,13645.709786296957
79,1.0471975511965976,0.9,1.04,13728.192562632985
80,1.0471975511965976,0.9,1.06,13910.571923298558
81,1.0471975511965976,0.9,1.1,14525.159135048234
82,1.0471975511965976,0.9,1.12,14935.83715555097
83,1.0471975511965976,0.9,1.14,15403.028121929798
84,1.0471975511965976,0.9,1.16,15918.67704215616
85,1.0471975511965976,0.9,1.18,16475.592477799037
86,1.0471975511965976,0.92,0.82,21723.431136110143
87,1.0471975511965976,0.92,0.84,19606.808629674262
88,1.0471975511965976,0.92,0.88,16442.315781027377
89,1.0471975511965976,0.92,0.9,15308.904198690756
90,1.0471975511965976,0.92,0.92,14426.418881789985
91,1.0471975511965976,0.92,0.94,13764.164157575737
92,1.0471975511965976,0.92,0.96,13295.17370346338
93,1.0471975511965976,0.92,0.98,12995.722914907989
94,1.0471975511965976,0.92,1.0,12844.906912440523
95,1.0471975511965976,0.92,1.02,12824.27581277542
96,1.0471975511965976,0.92,1.04,12917.519812768993
97,1.0471975511965976,0.92,1.06,13110.197479181676
98,1.0471975511965976,0.92,1.1,13744.056109061356
99,1.0471975511965976,0.92,1.12,14163.743635162611
100,1.0471975511965976,0.92,1.14,14639.55299122346
101,1.0471975511965976,0.92,1.16,15163.44994651584
102,1.0471975511965976,0.92,1.18,15728.264277785654
103,1.0471975511965976,0.94,0.82,20992.316832886
104,1.0471975511965976,0.94,0.84,18889.944487272565
105,1.0471975511965976,0.94,0.94,13114.7111751008
106,1.0471975511965976,0.94,0.96,12658.11644812774
107,1.0471975511965976,0.94,0.98,12370.637462280076
108,1.0471975511965976,0.94,1.0,12231.35840634256
109,1.0471975511965976,0.94,1.02,12221.824504761797
110,1.0471975511965976,0.94,1.04,12325.726227572126
111,1.0471975511965976,0.94,1.08,12817.727069177765
112,1.0471975511965976,0.94,1.1,13181.662930759354
113,1.0471975511965976,0.94,1.12,13610.330248396676
114,1.0471975511965976,0.94,1.14,14094.73389508255
115,1.0471975511965976,0.94,1.16,14626.857158481493
116,1.0471975511965976,0.94,1.18,15199.548663115536
117,1.0471975511965976,0.96,0.84,18368.811993445543
118,1.0471975511965976,0.96,0.94,12658.11644812774
119,1.0471975511965976,0.96,0.98,11937.790228787211
120,1.0471975511965976,0.96,1.0,11809.816736577191
121,1.0471975511965976,0.96,1.02,11811.19014551918
122,1.0471975511965976,0.96,1.04,11925.593706377053
123,1.0471975511965976,0.96,1.06,12138.588469469623
124,1.0471975511965976,0.96,1.08,12437.377591189816
125,1.0471975511965976,0.96,1.1,12810.603018876034
126,1.0471975511965976,0.96,1.14,13741.095838672054
127,1.0471975511965976,0.96,1.16,14281.378399245252
128,1.0471975511965976,0.96,1.18,14861.883184502469
129,1.0471975511965976,0.98,0.8,22596.08716315228
130,1.0471975511965976,0.98,0.84,18019.628479526793
131,1.0471975511965976,0.98,0.88,14934.638698244966
132,1.0471975511965976,0.98,0.9,13840.115233644168
133,1.0471975511965976,0.98,0.92,12995.722914907989
134,1.0471975511965976,0.98,0.94,12370.637462280076
135,1.0471975511965976,0.98,0.96,11937.790228787211
136,1.0471975511965976,0.98,0.98,11673.378267096665
137,1.0471975511965976,0.98,1.04,11693.192563689488
138,1.0471975511965976,0.98,1.06,11916.106607222748
139,1.0471975511965976,0.98,1.08,12224.430663043468
140,1.0471975511965976,0.98,1.18,14691.03760001596
141,1.0471975511965976,1.0,0.8,22374.39291420509
142,1.0471975511965976,1.0,0.82,19885.99903425554
143,1.0471975511965976,1.0,0.84,17821.410480986007
144,1.0471975511965976,1.0,0.86,16128.131828836713
145,1.0471975511965976,1.0,0.88,14760.249956606493
146,1.0471975511965976,1.0,0.96,11809.816736577191
147,1.0471975511965976,1.0,0.98,11556.439988732956
148,1.0471975511965976,1.0,1.0,11450.235006521838
149,1.0471975511965976,1.0,1.02,11472.68988705482
150,1.0471975511965976,1.0,1.04,11607.456359297445
151,1.0471975511965976,1.0,1.06,11840.075498873117
152,1.0471975511965976,1.0,1.1,12549.094770715255
153,1.0471975511965976,1.0,1.12,13004.050718912027
154,1.0471975511965976,1.0,1.14,13513.642195555178
155,1.0471975511965976,1.0,1.16,14069.890271298722
156,1.0471975511965976,1.0,1.18,14665.689515328238
157,1.0471975511965976,1.02,0.82,19809.0666070514
158,1.0471975511965976,1.02,0.84,17755.614426792097
159,1.0471975511965976,1.02,0.86,16073.611624486372
160,1.0471975511965976,1.02,0.88,14717.063716182094
161,1.0471975511965976,1.02,0.92,12824.27581277542
162,1.0471975511965976,1.02,0.96,11811.19014551918
163,1.0471975511965976,1.02,0.98,11568.488119840022
164,1.0471975511965976,1.02,1.0,11472.68988705482
165,1.0471975511965976,1.02,1.04,11649.813850006984
166,1.0471975511965976,1.02,1.06,11891.891509389765
167,1.0471975511965976,1.02,1.1,12618.793062203758
168,1.0471975511965976,1.02,1.12,13082.16901417261
169,1.0471975511965976,1.02,1.14,13599.838441311887
170,1.0471975511965976,1.02,1.16,14163.831739907171
171,1.0471975511965976,1.02,1.18,14767.056565167568
172,1.0471975511965976,1.04,0.8,22316.01868570951
173,1.0471975511965976,1.04,0.84,17805.826413646468
174,1.0471975511965976,1.04,0.86,16134.507766678747
175,1.0471975511965976,1.04,0.88,14788.74151895052
176,1.0471975511965976,1.04,0.92,12917.519812768993
177,1.0471975511965976,1.04,0.94,12325.726227572126
178,1.0471975511965976,1.04,0.96,11925.593706377053
179,1.0471975511965976,1.04,0.98,11693.192563689488
180,1.0471975511965976,1.04,1.0,11607.456359297445
181,1.0471975511965976,1.04,1.02,11649.813850006984
182,1.0471975511965976,1.04,1.06,12055.134619809274
183,1.0471975511965976,1.04,1.08,12390.77759804917
184,1.0471975511965976,1.04,1.1,12799.431069664732
185,1.0471975511965976,1.04,1.12,13271.008602000868
186,1.0471975511965976,1.04,1.14,13796.552738938408
187,1.0471975511965976,1.04,1.16,14368.102395048294
188,1.0471975511965976,1.04,1.18,14978.577858342249
189,1.0471975511965976,1.06,0.8,22448.11461120634
190,1.0471975511965976,1.06,0.82,19990.509821776937
191,1.0471975511965976,1.06,0.84,17957.494455128144
192,1.0471975511965976,1.06,0.88,14960.807394432268
193,1.0471975511965976,1.06,0.92,13110.197479181676
194,1.0471975511965976,1.06,0.94,12528.626783918628
195,1.0471975511965976,1.06,0.96,12138.588469469623
196,1.0471975511965976,1.06,0.98,11916.106607222748
197,1.0471975511965976,1.06,1.0,11840.075498873117
198,1.0471975511965976,1.06,1.04,12055.134619809274
199,1.0471975511965976,1.06,1.06,12315.293194563605
200,1.0471975511965976,1.06,1.08,12659.526201476789
201,1.0471975511965976,1.06,1.1,13076.457798317564
202,1.0471975511965976,1.06,1.12,13555.999813005974
203,1.0471975511965976,1.06,1.14,14089.198199752936
204,1.0471975511965976,1.08,0.8,22669.80133482164
205,1.0471975511965976,1.08,0.88,15220.415104452795
206,1.0471975511965976,1.08,0.9,14180.025088777924
207,1.0471975511965976,1.08,0.92,13389.501406979249
208,1.0471975511965976,1.08,0.94,12817.727069177765
209,1.0471975511965976,1.08,0.98,12224.430663043468
210,1.0471975511965976,1.08,1.0,12157.740982810596
211,1.0471975511965976,1.08,1.02,12218.672048571709
212,1.0471975511965976,1.08,1.04,12390.77759804917
213,1.0471975511965976,1.08,1.08,13012.06325546808
214,1.0471975511965976,1.08,1.12,13924.262192330838
215,1.0471975511965976,1.1,0.84,18514.945379866775
216,1.0471975511965976,1.1,0.86,16872.55925491017
217,1.0471975511965976,1.1,0.9,14525.159135048234
218,1.0471975511965976,1.1,0.94,13181.662930759354
219,1.0471975511965976,1.1,0.96,12810.603018876034
220,1.0471975511965976,1.1,1.0,12549.094770715255
221,1.0471975511965976,1.1,1.02,12618.793062203758
222,1.0471975511965976,1.1,1.04,12799.431069664732
223,1.0471975511965976,1.1,1.08,13437.005299993683
224,1.0471975511965976,1.1,1.1,13869.682757212531
225,1.0471975511965976,1.1,1.12,14364.398379547549
226,1.0471975511965976,1.1,1.14,14912.205205094971
227,1.0471975511965976,1.1,1.16,15505.167398720048
228,1.0471975511965976,1.1,1.18,16136.244087551804
229,1.0471975511965976,1.12,0.82,20905.16401787839
230,1.0471975511965976,1.12,0.84,18899.00748874611
231,1.0471975511965976,1.12,0.86,17265.36003873573
232,1.0471975511965976,1.12,0.9,14935.83715555097
233,1.0471975511965976,1.12,0.92,14163.743635162611
234,1.0471975511965976,1.12,0.98,13053.15093600164
235,1.0471975511965976,1.12,1.0,13004.050718912027
236,1.0471975511965976,1.12,1.02,13082.16901417261
237,1.0471975511965976,1.12,1.04,13271.008602000868
238,1.0471975511965976,1.12,1.06,13555.999813005974
239,1.0471975511965976,1.12,1.08,13924.262192330838
240,1.0471975511965976,1.12,1.12,14866.315750135414
241,1.0471975511965976,1.12,1.16,16020.740682245245
242,1.0471975511965976,1.14,0.8,23762.619322458617
243,1.0471975511965976,1.14,0.82,21338.79304034017
244,1.0471975511965976,1.14,0.84,19340.762594351952
245,1.0471975511965976,1.14,0.86,17715.46232474281
246,1.0471975511965976,1.14,0.9,15403.028121929798
247,1.0471975511965976,1.14,0.96,13741.095838672054
248,1.0471975511965976,1.14,0.98,13554.484640465333
249,1.0471975511965976,1.14,1.04,13796.552738938408
250,1.0471975511965976,1.14,1.06,14089.198199752936
251,1.0471975511965976,1.14,1.1,14912.205205094971
252,1.0471975511965976,1.14,1.12,15421.071916208271
253,1.0471975511965976,1.14,1.14,15982.546737887891
254,1.0471975511965976,1.14,1.16,16588.714269769873
255,1.0471975511965976,1.16,0.8,24238.649421862763
256,1.0471975511965976,1.16,0.88,16923.874665407144
257,1.0471975511965976,1.16,0.92,15163.44994651584
258,1.0471975511965976,1.16,0.94,14626.857158481493
259,1.0471975511965976,1.16,1.0,14069.890271298722
260,1.0471975511965976,1.16,1.04,14368.102395048294
261,1.0471975511965976,1.16,1.06,14668.100054572642
262,1.0471975511965976,1.16,1.08,15050.923779518416
263,1.0471975511965976,1.16,1.12,16020.740682245245
264,1.0471975511965976,1.16,1.14,16588.714269769873
265,1.0471975511965976,1.16,1.16,17201.184957168673
266,1.0471975511965976,1.16,1.18,17851.158391990277
267,1.0471975511965976,1.18,0.8,24757.572132247697
268,1.0471975511965976,1.18,0.82,22348.44754752076
269,1.0471975511965976,1.18,0.84,20365.65822102937
270,1.0471975511965976,1.18,0.9,16475.592477799037
271,1.0471975511965976,1.18,0.92,15728.264277785654
272,1.0471975511965976,1.18,0.94,15199.548663115536
273,1.0471975511965976,1.18,0.96,14861.883184502469
274,1.0471975511965976,1.18,0.98,14691.03760001596
275,1.0471975511965976,1.18,1.0,14665.689515328238
276,1.0471975511965976,1.18,1.02,14767.056565167568
277,1.0471975511965976,1.18,1.04,14978.577858342249
278,1.0471975511965976,1.18,1.06,15285.6382243594
279,1.0471975511965976,1.18,1.08,15675.329540192815
280,1.0471975511965976,1.18,1.12,16658.29549971893
281,1.0471975511965976,1.18,1.14,17232.563407649715
282,1.0471975511965976,1.18,1.16,17851.158391990277
283,1.1344640137963142,0.8,0.8,30447.85771857177
284,1.1344640137963142,0.8,0.82,27891.06562697096
285,1.1344640137963142,0.8,0.86,24015.16812737916
286,1.1344640137963142,0.8,0.88,22597.298904913347
287,1.1344640137963142,0.8,0.92,20598.715981677586
288,1.1344640137963142,0.8,0.94,19951.27120247428
289,1.1344640137963142,0.8,0.96,19500.517259399043
290,1.1344640137963142,0.8,0.98,19222.251703077956
291,1.1344640137963142,0.8,1.0,19095.121568969153
292,1.1344640137963142,0.8,1.04,19220.98644860275
293,1.1344640137963142,0.8,1.06,19442.51103428168
294,1.1344640137963142,0.8,1.08,19751.72566891947
295,1.1344640137963142,0.8,1.1,20136.988681769453
296,1.1344640137963142,0.8,1.12,20587.951566575575
297,1.1344640137963142,0.8,1.16,21651.153211482066
298,1.1344640137963142,0.82,0.82,25349.867290606147
299,1.1344640137963142,0.82,0.86,21502.437240141175
300,1.1344640137963142,0.82,0.88,20097.519243082337
301,1.1344640137963142,0.82,0.9,18982.69809283838
302,1.1344640137963142,0.82,0.94,17485.785644352825
303,1.1344640137963142,0.82,0.96,17045.113304919618
304,1.1344640137963142,0.82,0.98,16776.338691686717
305,1.1344640137963142,0.82,1.02,16671.74807248029
306,1.1344640137963142,0.82,1.06,17029.568446555335
307,1.1344640137963142,0.82,1.08,17345.977964384037
308,1.1344640137963142,0.82,1.1,17738.084978461564
309,1.1344640137963142,0.82,1.12,18195.56913548583
310,1.1344640137963142,0.82,1.14,18709.247531358145
311,1.1344640137963142,0.82,1.18,19873.365337139596
312,1.1344640137963142,0.84,0.82,23237.85889915318
313,1.1344640137963142,0.84,0.88,18025.20511679584
314,1.1344640137963142,0.84,0.9,16922.24547240884
