,theta,r1,r2,energy
0,105.0,1.08,0.95,-76.18745754
1,103.0,0.93,0.93,-76.19594428
2,105.0,0.97,0.95,-76.19794847
3,103.0,0.98,0.98,-76.19751433
4,103.0,1.01,1.01,-76.19420986
5,103.0,1.03,1.03,-76.19061702
6,103.0,0.95,0.95,-76.19778793
7,105.0,0.95,0.95,-76.19790119
8,101.0,0.95,0.95,-76.19746345
9,106.0,0.95,0.95,-76.19788078
10,106.0,0.93,0.95,-76.19701686
11,112.0,0.93,0.95,-76.19598659
12,102.0,0.91,0.95,-76.19479893
13,108.0,0.91,0.95,-76.19508349
14,112.0,0.91,0.95,-76.19427885
15,106.0,0.91,0.98,-76.19492313
16,102.0,0.91,0.98,-76.19466116
17,104.3054,0.9587,0.9587,-76.19813326
18,111.0,0.95,0.95,-76.19704465
19,105.5,0.95,0.95,-76.19789731
20,109.0,0.95,0.95,-76.19752219
21,104.385,0.95877,0.95877,-76.19813567
22,104.0,0.96,0.96,-76.19813603
23,104.0,1.03,0.95,-76.19412859
24,104.3618,0.95896,0.95896,-76.19813722
25,107.0,0.965,0.965,-76.19797274
26,104.305,0.962,0.962,-76.19814929
27,104.305,0.953,0.953,-76.19800521
28,109.0,1.0,1.0,-76.1947781
29,104.2,0.93,0.93,-76.19608881
30,115.0,0.95,0.95,-76.19555241
31,125.0,0.95,0.95,-76.18908924
32,130.0,0.95,0.95,-76.18467784
33,135.0,0.95,0.95,-76.17970487
34,140.0,0.95,0.95,-76.17436037
35,145.0,0.95,0.95,-76.16885114
36,150.0,0.95,0.95,-76.16339858
37,155.0,0.95,0.95,-76.1582342
38,175.0,0.95,0.95,-76.14491096
39,180.0,0.95,0.95,-76.14428613
40,100.0,0.95,0.95,-76.19721988
41,95.0,0.95,0.95,-76.19515584
42,90.0,0.95,0.95,-76.191609
43,85.0,0.95,0.95,-76.18648273
44,80.0,0.95,0.95,-76.17967884
45,75.0,0.95,0.95,-76.17108921
46,70.0,0.95,0.95,-76.16058045
47,65.0,0.95,0.95,-76.14796536
48,55.0,0.95,0.95,-76.11502645
49,50.0,0.95,0.95,-76.09329326
50,45.0,0.95,0.95,-76.06609269
51,130.0,0.9,0.9,-76.17883043
52,150.0,0.9,0.9,-76.15901398
53,104.52,0.957228,0.957228,-76.19811685
54,150.0,0.957228,0.957228,-76.16310949
55,180.0,0.95723,0.95723,-76.14378855
56,170.0,0.957228,0.957228,-76.1462815
57,104.52,0.7408478,0.7408478,-76.03563308
58,104.52,1.37586,1.37586,-76.05744076
59,104.52,1.0,1.0,-76.19556415
60,100.0,1.0,1.0,-76.19535477
61,90.0,1.0,1.0,-76.19096769
62,80.0,1.0,1.0,-76.1806113
63,70.0,1.0,1.0,-76.16357797
64,60.0,1.0,1.0,-76.13880547
65,50.0,1.0,1.0,-76.10353071
66,40.0,1.0,1.0,-76.04820253
67,110.0,1.0,1.0,-76.19447507
68,120.0,1.0,1.0,-76.18914083
69,130.0,1.0,1.0,-76.18034574
70,140.0,1.0,1.0,-76.16933187
71,160.0,1.0,1.0,-76.14711674
72,170.0,1.1,1.1,-76.10641402
73,160.0,1.1,1.1,-76.11524685
74,120.0,1.1,1.1,-76.16270081
75,100.0,1.1,1.1,-76.17177325
76,80.0,1.1,1.1,-76.16181795
77,70.0,1.1,1.1,-76.14842058
78,60.0,1.1,1.1,-76.12873634
79,50.0,1.3,1.3,-76.05275591
80,90.0,1.3,1.3,-76.09191624
81,100.0,1.3,1.3,-76.09154243
82,120.0,1.3,1.3,-76.07943022
83,140.0,1.3,1.3,-76.05483483
84,170.0,1.3,1.3,-76.00977761
85,180.0,1.3,1.3,-76.00367246
86,170.0,1.5,1.5,-75.92666863
87,140.0,1.5,1.5,-75.97541625
88,120.0,1.5,1.5,-75.99756149
89,104.52,1.5,1.5,-76.00757985
90,100.0,1.5,1.5,-76.00921559
91,80.0,1.5,1.5,-76.00887607
92,60.0,1.5,1.5,-75.99619696
93,50.0,1.5,1.5,-75.98774698
94,40.0,1.5,1.5,-75.982556
95,50.0,1.7,1.7,-75.92753629
96,40.0,1.7,1.7,-75.92828113
97,80.0,1.7,1.7,-75.93067794
98,100.0,1.7,1.7,-75.94362863
99,104.52,1.7,1.7,-75.94236354
100,110.0,1.7,1.7,-75.94029434
101,140.0,1.7,1.7,-75.92011132
102,160.0,1.7,1.7,-75.90178311
103,180.0,1.7,1.7,-75.88906039
104,104.52,0.9,1.0,-76.19256167
105,100.0,0.9,1.0,-76.1919086
106,90.0,0.9,1.0,-76.1863551
107,60.0,0.9,1.0,-76.12807574
108,50.0,0.9,1.0,-76.08886911
109,110.0,0.9,1.0,-76.19195533
110,120.0,0.9,1.0,-76.18738718
111,140.0,0.9,1.0,-76.16894035
112,170.0,0.9,1.0,-76.14125955
113,170.0,0.9,1.1,-76.12357616
114,160.0,0.9,1.1,-76.13108413
115,140.0,0.9,1.1,-76.15348369
116,120.0,0.9,1.1,-76.17341522
117,170.0,0.9,0.9,-76.14353763
118,180.0,0.9,0.9,-76.14126441
119,160.0,0.9,0.9,-76.14987816
120,140.0,0.9,0.9,-76.16925181
121,120.0,0.9,0.9,-76.18613596
122,110.0,0.9,0.9,-76.18978347
123,104.52,0.9,0.9,-76.18980545
124,90.0,0.9,0.9,-76.1816515
125,80.0,0.9,0.9,-76.1680042
126,60.0,0.9,0.9,-76.1159708
127,40.0,0.9,0.9,-76.00057944
128,80.0,0.7,0.7,-75.90259262
129,100.0,0.7,0.7,-75.93802099
130,104.52,0.7,0.7,-75.94176646
131,110.0,0.7,0.7,-75.94454329
132,120.0,0.7,0.7,-75.94530168
133,160.0,0.7,0.7,-75.92107841
134,180.0,0.7,0.7,-75.91459211
135,160.0,0.95,1.0,-76.15026168
136,140.0,0.95,1.0,-76.17175857
137,120.0,0.95,1.0,-76.19089076
138,104.52,0.95,1.0,-76.19669683
139,100.0,0.95,1.0,-76.19626696
140,90.0,0.95,1.0,-76.19129733
141,80.0,0.95,1.0,-76.18019048
142,60.0,0.95,1.0,-76.13603718
143,35.0,0.95,1.0,-75.99361004
144,100.0,0.95,1.1,-76.184287
145,180.0,0.95,1.7,-75.9731269
146,175.0,0.95,1.7,-75.97906379
147,180.0,0.95,3.0,-76.00136452
148,80.0,0.9,1.1,-76.16556082
149,50.0,0.9,1.1,-76.09069073
150,40.0,0.9,1.1,-76.03971275
151,50.0,0.9,1.3,-76.07387109
152,40.0,0.9,1.3,-76.03965328
153,100.0,0.9,1.3,-76.13838207
154,104.52,0.9,1.3,-76.13766321
155,140.0,0.9,1.3,-76.10645213
156,160.0,0.9,1.3,-76.0804401
157,170.0,0.9,1.3,-76.0710513
158,140.0,0.8,1.3,-76.07380941
159,120.0,0.8,1.3,-76.09539221
160,110.0,0.8,1.3,-76.1017628
161,100.0,0.8,1.3,-76.10408457
162,180.0,0.8,1.3,-76.03682402
163,170.0,0.8,1.3,-76.04011533
164,160.0,0.8,1.3,-76.04892841
165,80.0,0.8,1.3,-76.09418085
166,60.0,0.8,1.3,-76.06138675
167,90.0,0.8,1.3,-76.10173577
168,40.0,0.8,0.9,-75.94832759
169,50.0,0.8,0.9,-76.02547427
170,60.0,0.8,0.9,-76.07405132
171,80.0,0.8,0.9,-76.13129673
172,104.52,0.8,0.9,-76.15678728
173,30.0,0.8,2.0,-75.95604079
174,10.0,0.8,2.0,-75.93527687
175,0.0,0.8,2.0,-75.93136594
176,30.0,0.7,2.0,-75.86418471
177,20.0,0.7,2.0,-75.85445851
178,10.0,0.7,2.0,-75.84681472
179,0.0,0.7,2.0,-75.84382217
180,110.0,0.8,0.9,-76.15735876
181,140.0,0.8,0.9,-76.13932691
182,160.0,0.8,0.9,-76.12124228
183,180.0,0.8,0.9,-76.11321509
184,160.0,0.8,0.8,-76.09341785
185,180.0,0.8,0.8,-76.08597264
186,170.0,0.8,0.8,-76.08793354
187,140.0,0.8,0.8,-76.11014472
188,120.0,0.8,0.8,-76.1236942
189,100.0,0.8,0.8,-76.12162339
190,80.0,0.8,0.8,-76.09407718
191,60.0,0.8,0.8,-76.0302786
192,40.0,1.0,1.1,-76.05599415
193,50.0,1.0,1.1,-76.10332535
194,80.0,1.0,1.1,-76.17134868
195,100.0,1.0,1.1,-76.18346575
196,120.0,1.0,1.1,-76.17566969
197,160.0,1.0,1.1,-76.13081059
198,180.0,1.0,1.1,-76.11975313
199,180.0,0.8,1.1,-76.09137086
200,140.0,0.8,1.1,-76.12215984
201,100.0,0.8,1.1,-76.14596907
202,80.0,0.8,1.1,-76.12962735
203,60.0,0.8,1.1,-76.08546951
204,60.0,1.2,2.2,-75.98610727
205,80.0,1.2,2.2,-75.99115989
206,120.0,1.2,2.2,-75.98581912
207,40.0,1.2,1.2,-76.05171449
208,100.0,1.2,1.2,-76.13416394
209,140.0,1.2,1.2,-76.09926265
210,160.0,1.2,1.2,-76.07082933
211,180.0,1.2,1.2,-76.0557545
212,60.0,1.2,1.2,-76.10212495
213,170.0,1.2,1.2,-76.05999403
214,60.0,0.9,1.5,-76.06848103
215,40.0,0.9,1.5,-76.02573284
216,100.0,0.9,1.5,-76.09492424
217,140.0,0.9,1.5,-76.0600661
218,160.0,0.9,1.5,-76.03003101
219,180.0,0.9,1.5,-76.01137364
220,60.0,0.8,1.0,-76.0876739
221,80.0,0.8,1.0,-76.13823515
222,100.0,0.8,1.0,-76.15820797
223,120.0,0.8,1.0,-76.15539711
224,140.0,0.8,1.0,-76.13830395
225,170.0,0.8,1.0,-76.11229959
226,180.0,0.8,1.0,-76.10999387
227,100.0,0.7,0.9,-76.06299591
228,120.0,0.7,0.9,-76.06457041
229,140.0,0.7,0.9,-76.05069176
230,160.0,0.7,0.9,-76.03370345
231,180.0,0.7,0.9,-76.02613921
232,40.0,1.0,1.3,-76.05177904
233,60.0,1.0,1.3,-76.10689973
234,80.0,1.0,1.3,-76.13511246
235,100.0,1.0,1.3,-76.14243296
236,120.0,1.0,1.3,-76.1320824
237,140.0,1.0,1.3,-76.10890761
238,160.0,1.0,1.3,-76.08163306
239,170.0,1.0,1.3,-76.07151341
240,180.0,1.0,1.3,-76.06762676
241,140.0,1.0,1.2,-76.13289067
242,120.0,1.0,1.2,-76.1551362
243,160.0,1.0,1.2,-76.10744225
244,100.0,1.0,1.2,-76.16433094
245,80.0,1.0,1.2,-76.15471091
246,40.0,1.0,1.2,-76.05626133
247,30.0,1.0,1.2,-75.98478583
248,180.0,1.0,1.5,-76.01255469
249,170.0,1.0,1.5,-76.01891405
250,160.0,1.0,1.5,-76.03294375
251,140.0,1.0,1.5,-76.06386461
252,100.0,1.0,1.5,-76.0994219
253,80.0,1.0,1.5,-76.09592623
254,60.0,1.0,1.5,-76.07514999
255,40.0,1.0,1.5,-76.03573565
256,40.0,1.1,1.3,-76.05059656
257,50.0,1.1,1.3,-76.07921364
258,60.0,1.1,1.3,-76.09975161
259,100.0,1.1,1.3,-76.13118531
260,120.0,1.1,1.3,-76.12009924
261,140.0,1.1,1.3,-76.09624936
262,160.0,1.1,1.3,-76.06762518
263,180.0,1.1,1.3,-76.05222399
264,140.0,0.6,1.0,-75.84505286
265,80.0,0.6,0.9,-75.82791507
266,100.0,0.6,0.9,-75.8569712
267,120.0,0.6,0.9,-75.86025151
268,160.0,0.7,1.0,-76.03039523
269,140.0,0.7,1.0,-76.04894027
270,120.0,0.7,1.0,-76.0647855
271,60.0,0.7,1.0,-75.98990902
272,160.0,0.9,1.7,-75.99761983
273,80.0,0.9,1.7,-76.05824273
274,60.0,0.9,1.7,-76.04294753
275,40.0,0.9,1.7,-76.01195845
276,140.0,0.7,0.8,-76.02230188
277,120.0,0.7,0.8,-76.03417745
278,100.0,0.7,0.8,-76.02972194
279,80.0,0.7,0.8,-75.99860948
280,60.0,0.7,0.8,-75.92910659
281,140.0,0.7,1.1,-76.03211541
282,120.0,0.7,1.1,-76.0498082
283,100.0,0.7,1.1,-76.05354837
284,80.0,0.7,1.1,-76.03536681
285,40.0,0.7,1.1,-75.90161639
286,180.0,1.2,1.3,-76.02942458
287,160.0,1.2,1.3,-76.04668722
288,100.0,1.2,1.3,-76.11273207
289,60.0,1.2,1.3,-76.0853956
290,50.0,1.2,1.3,-76.06753484
291,40.0,1.2,1.3,-76.04327316
292,180.0,0.8,1.5,-75.97968419
293,170.0,0.8,1.5,-75.98478328
294,160.0,0.8,1.5,-75.9969996
295,140.0,0.8,1.5,-76.02614063
