,inputs,energy
0,"[1.0, 0.17604775726795197, 0.029777567833662033]",-0.1591876
1,"[0.9987502098083496, 0.17256177961826324, 0.02990862727165222]",-0.159095
2,"[1.0, 0.3011941909790039, 0.04504920542240143]",-0.136094
3,"[1.0, 0.3011941909790039, 0.04076221212744713]",-0.139802
4,"[1.0, 0.27253180742263794, 0.04504920542240143]",-0.144387
5,"[1.0, 0.24659697711467743, 0.049787066876888275]",-0.144038
6,"[1.0, 0.22313016653060913, 0.03019738383591175]",-0.159952
7,"[1.0, 0.2018965184688568, 0.03337327390909195]",-0.158668
8,"[1.0, 0.18268351256847382, 0.02127973921597004]",-0.158744
9,"[1.0, 0.1353352814912796, 0.018315639346837997]",-0.151702
10,"[1.0, 0.1353352814912796, 0.0067379469983279705]",-0.137665
11,"[1.0, 0.1353352814912796, 0.0024787522852420807]",-0.137929
12,"[1.0, 0.1353352814912796, 0.0009118819725699723]",-0.138302
13,"[0.5188744068145752, 0.20600104331970215, 0.19407464563846588]",-0.061672
14,"[0.5018856525421143, 0.21671980619430542, 0.1886533498764038]",-0.066324
15,"[0.5380276441574097, 0.21024367213249207, 0.1867295354604721]",-0.066197
16,"[0.5076728463172913, 0.23343491554260254, 0.1767474263906479]",-0.073838
17,"[0.5773501992225647, 0.21917296946048737, 0.17330318689346313]",-0.073629
18,"[0.5177803635597229, 0.25244802236557007, 0.16598497331142426]",-0.078746
19,"[0.5188743472099304, 0.13878324627876282, 0.12881344556808472]",-0.081328
20,"[0.5018855333328247, 0.14786790311336517, 0.12433148175477982]",-0.087694
21,"[0.5380275249481201, 0.1423654407262802, 0.12274851649999619]",-0.087513
22,"[0.5076730847358704, 0.16225826740264893, 0.11460183560848236]",-0.099743
23,"[0.577350378036499, 0.14996309578418732, 0.11181720346212387]",-0.098875
24,"[0.5177801847457886, 0.1789429932832718, 0.10594627261161804]",-0.110741
25,"[0.5188743472099304, 0.08470741659402847, 0.07717052102088928]",-0.067264
26,"[0.5018856525421143, 0.09169420599937439, 0.07382883131504059]",-0.074148
27,"[0.5380274653434753, 0.08744913339614868, 0.07265578955411911]",-0.073743
28,"[0.5076731443405151, 0.10298149287700653, 0.06667906045913696]",-0.087687
29,"[0.5773503184318542, 0.09332120418548584, 0.0646599754691124]",-0.086062
30,"[0.5177801847457886, 0.11638401448726654, 0.06044456735253334]",-0.101283
31,"[0.518873929977417, 0.4538738429546356, 0.44053915143013]",0.526242
32,"[0.5018854141235352, 0.46553221344947815, 0.43434274196624756]",0.530072
33,"[0.538027822971344, 0.45852336287498474, 0.4321218430995941]",0.529994
34,"[0.5076730847358704, 0.48315101861953735, 0.4204135835170746]",0.545292
35,"[0.577349841594696, 0.46815961599349976, 0.41629713773727417]",0.544455
36,"[0.5177801251411438, 0.5024415254592896, 0.4074123501777649]",0.57201
37,"[0.5188742280006409, 0.41119900345802307, 0.3976331353187561]",0.340954
38,"[0.501885712146759, 0.4231003224849701, 0.3913465440273285]",0.342758
39,"[0.5380279421806335, 0.41594094038009644, 0.389096200466156]",0.342461
40,"[0.5076724886894226, 0.44115719199180603, 0.37725600600242615]",0.352695
41,"[0.577349841594696, 0.42578786611557007, 0.37310343980789185]",0.351263
42,"[0.5177803039550781, 0.4610217809677124, 0.36415714025497437]",0.37286
43,"[0.5188744068145752, 0.3725365996360779, 0.3589059114456177]",0.210035
44,"[0.5018858909606934, 0.3845359683036804, 0.3526065945625305]",0.210521
45,"[0.5380273461341858, 0.3773130774497986, 0.35035473108291626]",0.210464
46,"[0.5076730847358704, 0.4028133153915405, 0.3385288715362549]",0.217225
47,"[0.5773506164550781, 0.38725030422210693, 0.33439067006111145]",0.21608
48,"[0.517780065536499, 0.4230165481567383, 0.32549411058425903]",0.232344
49,"[0.5188747644424438, 0.3057749271392822, 0.2923995852470398]",0.053903
50,"[0.5018855333328247, 0.31763193011283875, 0.2862519919872284]",0.052456
51,"[0.5380278825759888, 0.3104861378669739, 0.2840598225593567]",0.052434
52,"[0.5076732039451599, 0.33583343029022217, 0.27259305119514465]",0.05336
53,"[0.5773503184318542, 0.32032474875450134, 0.268599271774292]",0.052748
54,"[0.5177807211875916, 0.3561462163925171, 0.2600466012954712]",0.059984
55,"[0.518875002861023, 0.2509779930114746, 0.2382170706987381]",-0.02401
56,"[0.5018858909606934, 0.2623682916164398, 0.2323840856552124]",-0.027204
57,"[0.5380280613899231, 0.2554951012134552, 0.23030921816825867]",-0.027153
58,"[0.5076732039451599, 0.2799915075302124, 0.2194996476173401]",-0.031
59,"[0.5773499608039856, 0.2649654150009155, 0.21575263142585754]",-0.031189
60,"[0.5177803635597229, 0.2998473048210144, 0.20775899291038513]",-0.030914
61,"[0.5188745856285095, 0.16908426582813263, 0.158112034201622]",-0.077525
62,"[0.5018854737281799, 0.17901387810707092, 0.1531519740819931]",-0.083241
63,"[0.5380274057388306, 0.17300722002983093, 0.15139612555503845]",-0.083058
64,"[0.5076730847358704, 0.19461967051029205, 0.1423221379518509]",-0.093506
65,"[0.5773502588272095, 0.18129494786262512, 0.13920588791370392]",-0.092924
66,"[0.5177804231643677, 0.21254107356071472, 0.1326102465391159]",-0.102
67,"[0.5188746452331543, 0.10320189595222473, 0.09472300112247467]",-0.075105
68,"[0.5018855333328247, 0.11100810766220093, 0.09094277024269104]",-0.082041
69,"[0.5380273461341858, 0.10627110302448273, 0.08961253613233566]",-0.081687
70,"[0.5076729655265808, 0.12352026253938675, 0.08280757814645767]",-0.09542
71,"[0.5773502588272095, 0.11281882971525192, 0.08049789071083069]",-0.094036
72,"[0.5177803039550781, 0.1382361352443695, 0.07565690577030182]",-0.108473
73,"[0.51887446641922, 0.06299008429050446, 0.05674733594059944]",-0.053835
74,"[0.5018855929374695, 0.06883712857961655, 0.054002393037080765]",-0.060303
75,"[0.5380273461341858, 0.06527788937091827, 0.05304235219955444]",-0.059828
76,"[0.5076732039451599, 0.07839525490999222, 0.048180095851421356]",-0.07329
77,"[0.577350378036499, 0.07020653784275055, 0.04654915630817413]",-0.071337
78,"[0.5177803039550781, 0.08990839868783951, 0.04316385090351105]",-0.086843
79,"[0.5188745260238647, 0.042436521500349045, 0.037665002048015594]",-0.037015
80,"[0.5018855929374695, 0.04696756228804588, 0.03559013828635216]",-0.042432
81,"[0.5380275845527649, 0.044202499091625214, 0.03486790508031845]",-0.041901
82,"[0.5076731443405151, 0.054491858929395676, 0.031239667907357216]",-0.053631
83,"[0.5773501396179199, 0.04803689569234848, 0.03003404289484024]",-0.051454
84,"[0.5177804231643677, 0.06372985988855362, 0.027550971135497093]",-0.065954
85,"[1.0, 0.23223626613616943, 0.01958482712507248]",-0.165088
86,"[1.0, 0.17377394437789917, 0.028724640607833862]",-0.159189
87,"[0.6087614893913269, 0.12245643883943558, 0.0775526836514473]",-0.104062
88,"[0.9659258127212524, 0.12245643883943558, 0.017302779480814934]",-0.144104
89,"[0.4868120551109314, 0.23480497300624847, 0.22576647996902466]",-0.040498
90,"[0.39391931891441345, 0.3011941909790039, 0.21802303194999695]",-0.037321
91,"[0.6128349304199219, 0.24809736013412476, 0.17906880378723145]",-0.062264
92,"[0.4474690854549408, 0.2463504821062088, 0.20898950099945068]",-0.055779
93,"[0.654826283454895, 0.3178543448448181, 0.14777030050754547]",-0.057737
94,"[0.6326310038566589, 0.2973979711532593, 0.15402892231941223]",-0.064519
95,"[0.5908681154251099, 0.24660928547382355, 0.1764145791530609]",-0.066532
96,"[0.5188671350479126, 0.23480497300624847, 0.19564110040664673]",-0.059538
97,"[0.4596041142940521, 0.23480497300624847, 0.20672690868377686]",-0.05752
98,"[0.47222140431404114, 0.22313016653060913, 0.20428524911403656]",-0.058578
99,"[0.5189781188964844, 0.19440066814422607, 0.18268346786499023]",-0.068143
100,"[0.4231334626674652, 0.2463504821062088, 0.19099538028240204]",-0.070693
101,"[0.8461052775382996, 0.38876819610595703, 0.1155494749546051]",-0.014072
102,"[0.7466621994972229, 0.32868480682373047, 0.12536992132663727]",-0.062476
103,"[0.6970242857933044, 0.2914479374885559, 0.13433358073234558]",-0.077413
104,"[0.675650417804718, 0.2727258801460266, 0.14014075696468353]",-0.080969
105,"[0.6090912818908691, 0.23480497300624847, 0.16091683506965637]",-0.078892
106,"[0.4349253177642822, 0.23480497300624847, 0.18903875350952148]",-0.072035
107,"[0.7490459084510803, 0.26571419835090637, 0.12437678128480911]",-0.088785
108,"[0.5849486589431763, 0.2463504821062088, 0.14875072240829468]",-0.087547
109,"[0.401059091091156, 0.2463504821062088, 0.17436134815216064]",-0.083532
110,"[0.9591754674911499, 0.3987143635749817, 0.0995151624083519]",-0.009456
111,"[0.8689253926277161, 0.3542196750640869, 0.1046954095363617]",-0.053322
112,"[0.7787593603134155, 0.3004998564720154, 0.11377467215061188]",-0.084239
113,"[0.7322137355804443, 0.2667338252067566, 0.12206584215164185]",-0.092769
114,"[0.7118663787841797, 0.24964982271194458, 0.1274385154247284]",-0.094132
115,"[0.5931431651115417, 0.23480497300624847, 0.14666256308555603]",-0.08991
116,"[0.4124941825866699, 0.23480497300624847, 0.17266733944416046]",-0.084551
117,"[0.9655346274375916, 0.36145707964897156, 0.09007367491722107]",-0.053875
118,"[0.886940598487854, 0.322360098361969, 0.0948501005768776]",-0.081715
119,"[0.8052003979682922, 0.2743150591850281, 0.10322534292936325]",-0.100638
120,"[0.7617895007133484, 0.24374468624591827, 0.11087661981582642]",-0.10486
121,"[0.7304279208183289, 0.23480497300624847, 0.11583531647920609]",-0.104859
122,"[0.5784658789634705, 0.23480497300624847, 0.13357804715633392]",-0.099701
123,"[0.3920571506023407, 0.23480497300624847, 0.15756064653396606]",-0.095436
124,"[0.6764812469482422, 0.24801699817180634, 0.10045435279607773]",-0.11778
125,"[0.44721361994743347, 0.18268351256847382, 0.1494702696800232]",-0.089915
126,"[0.5627701282501221, 0.24953202903270721, 0.08898432552814484]",-0.129199
127,"[0.9203309416770935, 0.012955148704349995, 0.00033546279883012176]",-0.013098
128,"[0.812319815158844, 0.3678794503211975, 0.11277259886264801]",-0.040633
129,"[0.7232548594474792, 0.3678794503211975, 0.11905156075954437]",-0.043466
130,"[0.668183445930481, 0.3678794503211975, 0.12304157763719559]",-0.044536
131,"[0.343973845243454, 0.3678794503211975, 0.14812776446342468]",-0.046563
132,"[0.26764386892318726, 0.3678794503211975, 0.15440842509269714]",-0.04657
133,"[0.7341786026954651, 0.33287107944488525, 0.1147916167974472]",-0.072086
134,"[0.29221856594085693, 0.33287107944488525, 0.15226194262504578]",-0.07394
135,"[0.9807302951812744, 0.3011941909790039, 0.09212426841259003]",-0.071453
136,"[0.9230039119720459, 0.3011941909790039, 0.09643031656742096]",-0.080707
137,"[0.8270715475082397, 0.3011941909790039, 0.10389596968889236]",-0.088352
138,"[0.7445605397224426, 0.3011941909790039, 0.11062519252300262]",-0.090902
139,"[0.6933751702308655, 0.3011941909790039, 0.11494161188602448]",-0.091485
