,inputs,energy
0,"[1.7369999885559082, 1.7769999504089355, 3.5139999389648438]",-0.1591876
1,"[1.7569999694824219, 1.7569998502731323, 3.509608268737793]",-0.159095
2,"[1.2000000476837158, 1.899999976158142, 3.0999999046325684]",-0.136094
3,"[1.2000000476837158, 1.9999998807907104, 3.1999998092651367]",-0.139802
4,"[1.2999999523162842, 1.8000000715255737, 3.0999999046325684]",-0.144387
5,"[1.399999976158142, 1.5999999046325684, 3.0]",-0.144038
6,"[1.5, 2.0, 3.5]",-0.159952
7,"[1.600000023841858, 1.7999999523162842, 3.3999998569488525]",-0.158668
8,"[1.7000000476837158, 2.1500000953674316, 3.8499999046325684]",-0.158744
9,"[2.0, 2.0, 4.0]",-0.151702
10,"[2.0, 3.0, 5.0]",-0.137665
11,"[2.0, 4.0, 6.0]",-0.137929
12,"[2.0, 5.0, 7.0]",-0.138302
13,"[1.579874038696289, 1.5798741579055786, 1.6395124197006226]",-0.061672
14,"[1.5291500091552734, 1.6000003814697266, 1.6678440570831299]",-0.066324
15,"[1.55948805809021, 1.559487223625183, 1.6780940294265747]",-0.066197
16,"[1.4548519849777222, 1.6000003814697266, 1.733033537864685]",-0.073838
17,"[1.5178940296173096, 1.51789391040802, 1.7527127265930176]",-0.073629
18,"[1.3765499591827393, 1.5999995470046997, 1.7958580255508423]",-0.078746
19,"[1.9748419523239136, 1.9748420715332031, 2.0493900775909424]",-0.081328
20,"[1.9114359617233276, 1.9999996423721313, 2.084804058074951]",-0.087694
21,"[1.9493579864501953, 1.949358582496643, 2.0976176261901855]",-0.087513
22,"[1.8185659646987915, 2.0, 2.1662914752960205]",-0.099743
23,"[1.8973660469055176, 1.8973660469055176, 2.190889835357666]",-0.098875
24,"[1.720687985420227, 2.000000238418579, 2.2448232173919678]",-0.110741
25,"[2.4685521125793457, 2.468552827835083, 2.5617377758026123]",-0.067264
26,"[2.389296054840088, 2.5, 2.606005907058716]",-0.074148
27,"[2.4366979598999023, 2.4366986751556396, 2.6220221519470215]",-0.073743
28,"[2.2732059955596924, 2.499999523162842, 2.707864284515381]",-0.087687
29,"[2.3717079162597656, 2.3717081546783447, 2.7386128902435303]",-0.086062
30,"[2.150860071182251, 2.5, 2.8060286045074463]",-0.101283
31,"[0.7899360060691833, 0.7899368405342102, 0.8197559714317322]",0.526242
32,"[0.7645739912986755, 0.7999995946884155, 0.8339213728904724]",0.530072
