,inputs,energy
0,"[1.7569999694824219, 1.7569998502731323, 3.509608268737793]",-0.159095
1,"[1.2000000476837158, 1.899999976158142, 3.0999999046325684]",-0.136094
2,"[1.600000023841858, 1.7999999523162842, 3.3999998569488525]",-0.158668
3,"[1.7000000476837158, 2.1500000953674316, 3.8499999046325684]",-0.158744
4,"[2.0, 2.0, 4.0]",-0.151702
5,"[2.0, 3.0, 5.0]",-0.137665
6,"[2.0, 4.0, 6.0]",-0.137929
7,"[2.0, 5.0, 7.0]",-0.138302
8,"[1.55948805809021, 1.559487223625183, 1.6780940294265747]",-0.066197
9,"[1.4548519849777222, 1.6000003814697266, 1.733033537864685]",-0.073838
10,"[1.5178940296173096, 1.51789391040802, 1.7527127265930176]",-0.073629
11,"[1.3765499591827393, 1.5999995470046997, 1.7958580255508423]",-0.078746
12,"[1.9748419523239136, 1.9748420715332031, 2.0493900775909424]",-0.081328
13,"[1.9114359617233276, 1.9999996423721313, 2.084804058074951]",-0.087694
14,"[1.8973660469055176, 1.8973660469055176, 2.190889835357666]",-0.098875
15,"[1.720687985420227, 2.000000238418579, 2.2448232173919678]",-0.110741
16,"[2.389296054840088, 2.5, 2.606005907058716]",-0.074148
17,"[2.2732059955596924, 2.499999523162842, 2.707864284515381]",-0.087687
18,"[2.150860071182251, 2.5, 2.8060286045074463]",-0.101283
19,"[0.7899360060691833, 0.7899368405342102, 0.8197559714317322]",0.526242
20,"[0.779744029045105, 0.7797438502311707, 0.8390476703643799]",0.529994
21,"[0.7274259924888611, 0.7999997138977051, 0.8665163516998291]",0.545292
22,"[0.7589460015296936, 0.7589468359947205, 0.8763560056686401]",0.544455
23,"[0.8601459860801697, 0.8999995589256287, 0.9381617903709412]",0.342758
24,"[0.8183540105819702, 0.9000003337860107, 0.9748312830924988]",0.352695
25,"[0.9874200224876404, 0.9874205589294434, 1.0246950387954712]",0.210035
26,"[0.9557179808616638, 0.9999995827674866, 1.0424022674560547]",0.210521
27,"[0.9746800065040588, 0.9746801257133484, 1.0488091707229614]",0.210464
28,"[0.9486839771270752, 0.9486832022666931, 1.0954452753067017]",0.21608
29,"[0.8603439927101135, 0.9999997615814209, 1.1224108934402466]",0.232344
30,"[1.184906005859375, 1.1849051713943481, 1.2296339273452759]",0.053903
31,"[1.1468620300292969, 1.2000000476837158, 1.2508827447891235]",0.052456
32,"[1.1696159839630127, 1.1696150302886963, 1.2585704326629639]",0.052434
33,"[1.1384199857711792, 1.1384202241897583, 1.3145346641540527]",0.052748
34,"[1.0324139595031738, 1.2000001668930054, 1.346894383430481]",0.059984
35,"[1.382390022277832, 1.382388949394226, 1.4345729351043701]",-0.02401
36,"[1.3380060195922852, 1.4000000953674316, 1.4593636989593506]",-0.027204
37,"[1.272995948791504, 1.4000002145767212, 1.516404628753662]",-0.031
38,"[1.2044819593429565, 1.4000002145767212, 1.5713765621185303]",-0.030914
39,"[1.777358055114746, 1.777357816696167, 1.8444514274597168]",-0.077525
40,"[1.7202919721603394, 1.8000000715255737, 1.8763245344161987]",-0.083241
41,"[1.7544219493865967, 1.7544227838516235, 1.8878555297851562]",-0.083058
42,"[1.6367080211639404, 1.7999993562698364, 1.949662208557129]",-0.093506
43,"[1.7076300382614136, 1.7076300382614136, 1.9718012809753418]",-0.092924
44,"[1.5486199855804443, 1.7999999523162842, 2.020340919494629]",-0.102
45,"[2.2710680961608887, 2.2710676193237305, 2.3567984104156494]",-0.075105
46,"[2.0913500785827637, 2.3000004291534424, 2.4912357330322266]",-0.09542
47,"[1.9787919521331787, 2.299999952316284, 2.5815465450286865]",-0.108473
48,"[2.545991897583008, 2.8000004291534424, 3.032809257507324]",-0.07329
49,"[2.656313896179199, 2.656313180923462, 3.067246437072754]",-0.071337
50,"[2.408963918685913, 2.799999952316284, 3.142751932144165]",-0.086843
51,"[2.7531020641326904, 3.200000524520874, 3.591717481613159]",-0.065954
52,"[1.4600000381469727, 2.4730000495910645, 3.933000087738037]",-0.165088
53,"[1.75, 1.7999999523162842, 3.549999952316284]",-0.159189
54,"[2.0999999046325684, 2.0999999046325684, 2.556797742843628]",-0.104062
55,"[2.0999999046325684, 2.0999996662139893, 4.056888103485107]",-0.144104
56,"[1.4490000009536743, 1.4882540702819824, 1.4882540702819824]",-0.040498
57,"[1.3939340114593506, 1.4010000228881836, 1.7199851274490356]",-0.062264
58,"[1.4010000228881836, 1.5654712915420532, 1.5654712915420532]",-0.055779
59,"[1.3999500274658203, 1.4490004777908325, 1.734918475151062]",-0.066532
60,"[1.4490000009536743, 1.5192424058914185, 1.631473422050476]",-0.059538
61,"[1.4490000009536743, 1.5763566493988037, 1.5763566493988037]",-0.05752
62,"[1.6378339529037476, 1.637834072113037, 1.700000286102295]",-0.068143
63,"[0.9447720050811768, 1.4490002393722534, 2.1580564975738525]",-0.014072
64,"[1.1126559972763062, 1.4489998817443848, 2.076486587524414]",-0.062476
65,"[1.232893943786621, 1.4490004777908325, 2.0074291229248047]",-0.077413
66,"[1.299288034439087, 1.4490001201629639, 1.9651079177856445]",-0.080969
67,"[1.3253339529037476, 1.4010003805160522, 2.084439754486084]",-0.088785
68,"[0.919510006904602, 1.4489998817443848, 2.3074452877044678]",-0.009456
69,"[1.0378379821777344, 1.4490001201629639, 2.256700038909912]",-0.053322
70,"[1.2023080587387085, 1.4489996433258057, 2.1735353469848633]",-0.084239
71,"[1.32150399684906, 1.4489995241165161, 2.1031947135925293]",-0.092769
72,"[1.3876960277557373, 1.4490001201629639, 2.0601212978363037]",-0.094132
73,"[1.4490000009536743, 1.5763417482376099, 1.9196208715438843]",-0.08991
74,"[1.0176119804382324, 1.4489998817443848, 2.4071273803710938]",-0.053875
75,"[1.293478012084961, 1.4490001201629639, 2.270840883255005]",-0.100638
76,"[1.4116339683532715, 1.4490002393722534, 2.1993372440338135]",-0.10486
77,"[1.4490000009536743, 1.6665388345718384, 2.0130693912506104]",-0.099701
78,"[1.3942580223083496, 1.7000004053115845, 2.2980518341064453]",-0.11778
79,"[1.7000000476837158, 1.9006577730178833, 1.9006577730178833]",-0.089915
80,"[1.3881679773330688, 1.9999996423721313, 2.419295072555542]",-0.129199
81,"[4.346261978149414, 4.3462629318237305, 7.999999523162842]",-0.013098
82,"[1.0, 1.489028811454773, 2.1823818683624268]",-0.040633
83,"[1.0, 1.8256828784942627, 1.9096801280975342]",-0.046563
84,"[1.100000023841858, 1.5489823818206787, 2.1646368503570557]",-0.072086
85,"[1.100000023841858, 1.8821529150009155, 1.8821529150009155]",-0.07394
86,"[1.2000000476837158, 1.2302840948104858, 2.3846168518066406]",-0.071453
87,"[1.2000000476837158, 1.315061092376709, 2.3389346599578857]",-0.080707
88,"[1.2000000476837158, 1.4396696090698242, 2.2643651962280273]",-0.088352
89,"[1.2000000476837158, 1.5339242219924927, 2.2016074657440186]",-0.090902
90,"[1.2000000476837158, 1.5874509811401367, 2.1633310317993164]",-0.091485
91,"[1.2000000476837158, 1.8973665237426758, 1.8973665237426758]",-0.090787
92,"[1.1379059553146362, 1.4009994268417358, 2.4832584857940674]",-0.084628
93,"[1.2436879873275757, 1.400999665260315, 2.432004451751709]",-0.099871
94,"[1.4010000228881836, 1.5082236528396606, 2.2774240970611572]",-0.111578
95,"[1.4010000228881836, 1.571560025215149, 2.234189033508301]",-0.111104
96,"[1.4010000228881836, 1.7544255256652832, 2.093654155731201]",-0.107043
97,"[1.0755000114440918, 1.4490000009536743, 2.5244998931884766]",-0.075878
98,"[1.1160520315170288, 1.4490000009536743, 2.5068359375]",-0.084967
99,"[1.2272460460662842, 1.4490001201629639, 2.4543163776397705]",-0.102215
100,"[1.3858660459518433, 1.4489998817443848, 2.3683700561523438]",-0.113186
101,"[1.4490000009536743, 1.5030155181884766, 2.2958102226257324]",-0.114524
102,"[1.4490000009536743, 1.5686941146850586, 2.2514443397521973]",-0.113717
103,"[1.4490000009536743, 1.757796049118042, 2.107118844985962]",-0.108395
104,"[1.4490000009536743, 1.880845308303833, 1.9980534315109253]",-0.105377
105,"[1.4490000009536743, 1.9403350353240967, 1.9403350353240967]",-0.104944
106,"[1.4890379905700684, 1.5999994277954102, 2.3543083667755127]",-0.121299
107,"[1.0033780336380005, 1.6999996900558472, 2.6302530765533447]",-0.073599
108,"[1.1456279754638672, 1.7000000476837158, 2.571485757827759]",-0.107157
109,"[1.3411760330200195, 1.6999995708465576, 2.475125312805176]",-0.12444
110,"[1.7000000476837158, 1.7805932760238647, 2.1804778575897217]",-0.108455
111,"[1.7000000476837158, 1.9906028509140015, 1.9906028509140015]",-0.098393
112,"[1.4702179431915283, 2.0, 2.513655424118042]",-0.133213
113,"[2.0, 2.0591259002685547, 2.0591259002685547]",-0.079747
114,"[1.5402300357818604, 2.9338862895965576, 2.999999761581421]",-0.154585
115,"[1.1755000352859497, 1.4490001201629639, 2.624500036239624]",-0.101238
116,"[1.2147459983825684, 1.4490008354187012, 2.606566905975342]",-0.106894
117,"[1.3231199979782104, 1.4489996433258057, 2.5532634258270264]",-0.117194
118,"[1.4490000009536743, 1.4792447090148926, 2.466097354888916]",-0.122753
119,"[1.4490000009536743, 1.660827875137329, 2.3476476669311523]",-0.121154
120,"[1.4490000009536743, 1.8499581813812256, 2.201693534851074]",-0.116073
121,"[1.0, 1.8027758598327637, 2.291288137435913]",-0.064184
122,"[1.0, 2.0615527629852295, 2.0615527629852295]",-0.065038
123,"[1.100000023841858, 1.7413585186004639, 2.3606505393981934]",-0.091394
124,"[1.100000023841858, 2.074246883392334, 2.074246883392334]",-0.091803
125,"[1.2000000476837158, 1.5104765892028809, 2.537412405014038]",-0.105785
126,"[1.2000000476837158, 1.7246330976486206, 2.3970067501068115]",-0.109128
127,"[1.2000000476837158, 1.7776391506195068, 2.3579654693603516]",-0.109178
128,"[1.2000000476837158, 2.0880613327026367, 2.0880613327026367]",-0.108023
129,"[1.2994999885559082, 1.4010000228881836, 2.700500011444092]",-0.117349
130,"[1.4010000228881836, 1.4366966485977173, 2.6300768852233887]",-0.125449
131,"[1.4010000228881836, 1.584105134010315, 2.544015884399414]",-0.127682
132,"[1.4010000228881836, 1.6949821710586548, 2.471525192260742]",-0.126781
133,"[1.4010000228881836, 1.7577545642852783, 2.4272825717926025]",-0.125754
