,Ahalf,Y,Z,E
0,0.8685,0.0,2.6455,-0.1591876
1,0.8785,0.175407,2.626722,-0.159095
2,0.6,0.0,2.5,-0.136094
3,0.6,0.0,2.6,-0.139802
4,0.65,0.0,2.45,-0.144387
5,0.7,0.0,2.3,-0.144038
6,0.75,0.0,2.75,-0.159952
7,0.8,0.0,2.6,-0.158668
8,0.85,0.0,3.0,-0.158744
9,1.0,0.0,3.0,-0.151702
10,1.0,0.0,4.0,-0.137665
11,1.0,0.0,5.0,-0.137929
12,1.0,0.0,6.0,-0.138302
13,0.789937,1.401538,0.060764,-0.061672
14,0.764575,1.442575,0.072492,-0.066324
15,0.779744,1.414511,0.123117,-0.066197
16,0.727426,1.493095,0.152388,-0.073838
17,0.758947,1.431084,0.252982,-0.073629
18,0.688275,1.536381,0.241585,-0.078746
19,0.987421,1.751922,0.075955,-0.081328
20,0.955718,1.803218,0.090615,-0.087694
21,0.974679,1.768139,0.153897,-0.087513
22,0.909283,1.866368,0.190485,-0.099743
23,0.948683,1.788854,0.316228,-0.098875
24,0.860344,1.920477,0.301981,-0.110741
25,1.234276,2.189903,0.094944,-0.067264
26,1.194648,2.254023,0.113269,-0.074148
27,1.218349,2.210174,0.192371,-0.073743
28,1.136603,2.33296,0.238107,-0.087687
29,1.185854,2.236068,0.395285,-0.086062
30,1.07543,2.400596,0.377476,-0.101283
31,0.394968,0.700769,0.030382,0.526242
32,0.382287,0.721287,0.036246,0.530072
33,0.389872,0.707256,0.061559,0.529994
34,0.363713,0.746547,0.076194,0.545292
35,0.379473,0.715542,0.126491,0.544455
36,0.344138,0.768191,0.120792,0.57201
37,0.444339,0.788365,0.03418,0.340954
38,0.430073,0.811448,0.040777,0.342758
39,0.438606,0.795663,0.069254,0.342461
40,0.409177,0.839866,0.085718,0.352695
41,0.426907,0.804984,0.142302,0.351263
42,0.387155,0.864214,0.135891,0.37286
43,0.49371,0.875961,0.037978,0.210035
44,0.477859,0.901609,0.045308,0.210521
45,0.48734,0.88407,0.076948,0.210464
46,0.454641,0.933184,0.095243,0.217225
47,0.474342,0.894427,0.158114,0.21608
48,0.430172,0.960238,0.15099,0.232344
49,0.592453,1.051153,0.045573,0.053903
