,inputs,energy
0,"[0.17604775726795197, 0.16914483904838562, 0.029777567833662033]",-0.1591876
1,"[0.3011941909790039, 0.1495686173439026, 0.04504920542240143]",-0.136094
2,"[0.3011941909790039, 0.1353352963924408, 0.04076221212744713]",-0.139802
3,"[0.22313016653060913, 0.1353352814912796, 0.03019738383591175]",-0.159952
4,"[0.1353352814912796, 0.1353352814912796, 0.018315639346837997]",-0.151702
5,"[0.1353352814912796, 0.049787066876888275, 0.0067379469983279705]",-0.137665
6,"[0.1353352814912796, 0.018315639346837997, 0.0024787522852420807]",-0.137929
7,"[0.20600104331970215, 0.20600101351737976, 0.19407464563846588]",-0.061672
8,"[0.21024367213249207, 0.2102438509464264, 0.1867295354604721]",-0.066197
9,"[0.23343491554260254, 0.20189644396305084, 0.1767474263906479]",-0.073838
10,"[0.21917296946048737, 0.21917299926280975, 0.17330318689346313]",-0.073629
11,"[0.14786790311336517, 0.13533532619476318, 0.12433148175477982]",-0.087694
12,"[0.1423654407262802, 0.14236536622047424, 0.12274851649999619]",-0.087513
13,"[0.14996309578418732, 0.14996309578418732, 0.11181720346212387]",-0.098875
14,"[0.1789429932832718, 0.13533525168895721, 0.10594627261161804]",-0.110741
15,"[0.08470741659402847, 0.0847073569893837, 0.07717052102088928]",-0.067264
16,"[0.08744913339614868, 0.0874490737915039, 0.07265578955411911]",-0.073743
17,"[0.09332120418548584, 0.09332118183374405, 0.0646599754691124]",-0.086062
18,"[0.46553221344947815, 0.449329137802124, 0.43434274196624756]",0.530072
19,"[0.45852336287498474, 0.4585234522819519, 0.4321218430995941]",0.529994
20,"[0.48315101861953735, 0.44932907819747925, 0.4204135835170746]",0.545292
21,"[0.46815961599349976, 0.4681592285633087, 0.41629713773727417]",0.544455
22,"[0.5024415254592896, 0.449328750371933, 0.4074123501777649]",0.57201
23,"[0.4231003224849701, 0.40656983852386475, 0.3913465440273285]",0.342758
24,"[0.41594094038009644, 0.415941059589386, 0.389096200466156]",0.342461
25,"[0.44115719199180603, 0.40656954050064087, 0.37725600600242615]",0.352695
26,"[0.42578786611557007, 0.42578762769699097, 0.37310343980789185]",0.351263
27,"[0.4610217809677124, 0.40656977891921997, 0.36415714025497437]",0.37286
28,"[0.3725365996360779, 0.37253639101982117, 0.3589059114456177]",0.210035
29,"[0.3845359683036804, 0.36787959933280945, 0.3526065945625305]",0.210521
