  Nabs ijk   A/2       Y3       Z3           S f(N) sumC*C    Eex   dEl34 dE(T)  DTS  |Ddc| DbasL  Efinal
 77006 404     0.868500 0.000000 2.645500                              t .00 .999999 -.1575456     0     0     0     0  1642 -.1591876
 77016 404     0.878500 0.175407 2.626722                              t .00 .999999 -.157452     0     0     0     0  1643 -.159095
 81853 204     0.600000 0.000000 2.500000                              P .01 .985185 -.134380   -77   279    42   631  1750 -.136094
 81864 205     0.600000 0.000000 2.600000                              P .01 .984948 -.138062   -42   249    23   642  1757 -.139802
 82098 204     0.650000 0.000000 2.450000                              P .01 .985121 -.142714     5   260    26   622  1693 -.144387
 82321 303     0.700000 0.000000 2.300000                              P .01 .985395 -.142377   -31   270    -1   606  1654 -.144038
 82598 305     0.750000 0.000000 2.750000                              P .01 .988030 -.158324    -5   263    19   403  1643 -.159952
 82800 304     0.800000 0.000000 2.600000                              P .01 .988385 -.157038   -35   252    15   385  1641 -.158668
 83051 405     0.850000 0.000000 3.000000                              P .01 .989033 -.157109     6   224     5   319  1636 -.158744
 83612 505     1.000000 0.000000 3.000000                              P .01 .989717 -.150070    -7   152   -10   271  1620 -.151702
 83687 507     1.000000 0.000000 4.000000                              P .01 .990910 -.136091   -20   161     5   194  1577 -.137665
 83733 508     1.000000 0.000000 5.000000                              P .01 .992129 -.136534    13   116   -11   149  1383 -.137929
 83769 509     1.000000 0.000000 6.000000                              P .01 .993076 -.137039    12   101   -11   120  1251 -.138302
 85161 434     0.789937 1.401538 0.060764                              P .01 .983854 -.059401  -153   272    27   720  2291 -.061672
 85162 434     0.764575 1.442575 0.072492                              P .01 .983638 -.064016  -120   386    10   740  2311 -.066324
 85163 434     0.779744 1.414511 0.123117                              P .01 .983784 -.063924  -148   279    29   730  2295 -.066197
 85164 434     0.727426 1.493095 0.152388                              P .01 .983534 -.071496   -92   377     4   758  2338 -.073838
 85165 434     0.758947 1.431084 0.252982                              P .01 .983704 -.071349  -138   285    25   746  2298 -.073629
 85166 434     0.688275 1.536381 0.241585                              P .01 .983501 -.076362   -63   392    -7   774  2369 -.078746
 85167 535     0.987421 1.751922 0.075955                              P .01 .988694 -.079254  -153   302    52   340  2122 -.081328
 85168 535     0.955718 1.803218 0.090615                              P .01 .986740 -.085580  -103   383    34   435  2143 -.087694
 85169 535     0.974679 1.768139 0.153897                              P .01 .988645 -.085428  -152   298    47   345  2129 -.087513
 85170 535     0.909283 1.866368 0.190485                              P .01 .986655 -.097599   -72   362    34   448  2174 -.099743
 85171 535     0.948683 1.788854 0.316228                              P .01 .988524 -.096757   -68   266    25   356  2139 -.098875
 85172 535     0.860344 1.920477 0.301981                              P .01 .986537 -.108560   -73   357    21   466  2197 -.110741
 85173 636     1.234276 2.189903 0.094944                              P .01 .990574 -.065229   -64   247    20   204  2053 -.067264
 85174 636     1.194648 2.254023 0.113269                              P .01 .989560 -.072120  -102   354    36   239  2062 -.074148
 85175 636     1.218349 2.210174 0.192371                              P .01 .990537 -.071704   -45   246    13   207  2050 -.073743
 85176 636     1.136603 2.332960 0.238107                              P .01 .989366 -.085642   -78   367    27   252  2069 -.087687
 85177 636     1.185854 2.236068 0.395285                              P .01 .990414 -.084018   -20   227     0   216  2042 -.086062
 85178 636     1.075430 2.400596 0.377476                              P .01 .989091 -.099221   -34   335    17   270  2076 -.101283
 85179 131     0.394968 0.700769 0.030382                              d .22 .991700  .530352    -6   174     8   341  4043  .526242
 85180 131     0.382287 0.721287 0.036246                              h .19 .991741  .534164     7   199    -5   341  4020  .530072
 85181 131     0.389872 0.707256 0.061559                              d .22 .991715  .534063    33   195     9   341  4004  .529994
 85182 131     0.363713 0.746547 0.076194                              h .19 .991869  .549317   -29   253    -7   334  3954  .545292
 85183 131     0.379473 0.715542 0.126491                              d .22 .991719  .548418    -2   228    36   341  3923  .544455
 85184 131     0.344138 0.768191 0.120792                              h .19 .991667  .575937   -33   242    15   348  3876  .572010
 85185 131     0.444339 0.788365 0.034180                              d .22 .989293  .344553   -35   143    22   488  3513  .340954
 85186 131     0.430073 0.811448 0.040777                              h .19 .989847  .346244   -89   336   101   451  3501  .342758
 85187 131     0.438606 0.795663 0.069254                              d .22 .989265  .346047    -7   145     8   491  3485  .342461
 85188 131     0.409177 0.839866 0.085718                              h .19 .989883  .356194   -53   280    49   451  3461  .352695
 85189 131     0.426907 0.804984 0.142302                              d .22 .989211  .354785   -12   169    17   496  3429  .351263
 85190 131     0.387155 0.864214 0.135891                              h .19 .989912  .376323   -58   258    37   451  3413  .372860
 85191 131     0.493710 0.875961 0.037978                              P .01 .988084  .213204   -45   216    34   569  3196  .210035
 85192 131     0.477859 0.901609 0.045308                              P .01 .988023  .213753   -51   337    24   575  3250  .210521
 85193 131     0.487340 0.884070 0.076948                              P .01 .988018  .213668   -41   229    35   575  3233  .210464
 85194 131     0.454641 0.933184 0.095243                              h .19 .988718  .220640    -2   232    -5   515  3312  .217225
 85195 131     0.474342 0.894427 0.158114                              d .22 .987923  .219481   -57   172    25   570  3300  .216080
 85196 131     0.430172 0.960238 0.150990                              h .19 .988746  .235758    30   221   -10   515  3305  .232344
 85197 232     0.592453 1.051153 0.045573                              P .01 .987321  .056562   -58   233    44   571  2697  .053903
 85198 232     0.573431 1.081931 0.054369                              P .01 .987222  .055180    -8   332    22   580  2740  .052456
 85199 232     0.584808 1.060883 0.092338                              P .01 .987222  .055116   -48   263    45   580  2721  .052434
 85200 232     0.545570 1.119821 0.114291                              P .01 .987017  .056158    -1   384    20   600  2812  .053360
 85201 232     0.569210 1.073313 0.189737                              P .01 .987035  .055472   -28   264    44   598  2762  .052748
 85202 232     0.516207 1.152286 0.181189                              P .01 .986803  .062872     4   407     1   623  2883  .059984
 85203 333     0.691195 1.226345 0.053169                              P .01 .986338 -.021643   -58   256    58   589  2418 -.024010
 85204 333     0.669003 1.262253 0.063431                              P .01 .986206 -.024791   -38   345    44   601  2450 -.027204
 85205 333     0.682276 1.237697 0.107728                              P .01 .986238 -.024765   -54   258    50   599  2432 -.027153
 85206 333     0.636498 1.306458 0.133340                              P .01 .986014 -.028541   -44   384    48   623  2501 -.031000
 85207 333     0.664078 1.252198 0.221359                              P .01 .986063 -.028787   -58   285    60   618  2455 -.031189
 85208 333     0.602241 1.344334 0.211387                              P .01 .985844 -.028391   -26   410    36   644  2553 -.030914
 85209 434     0.888679 1.576730 0.068360                              P .01 .985013 -.075409  -167   290   103   580  2213 -.077525
 85210 434     0.860146 1.622897 0.081554                              P .01 .984837 -.081064  -104   382    63   594  2234 -.083241
 85211 434     0.877211 1.591325 0.138507                              P .01 .984962 -.080937  -142   281   105   587  2221 -.083058
 85212 434     0.818354 1.679731 0.171437                              P .01 .984730 -.091291  -148   388    46   612  2254 -.093506
