,inputs,energy
0,"[1.0, 0.17604775726795197, 0.029777567833662033]",-0.1591876
1,"[0.9987502098083496, 0.17256177961826324, 0.02990862727165222]",-0.159095
2,"[1.0, 0.3011941909790039, 0.04076221212744713]",-0.139802
3,"[1.0, 0.27253180742263794, 0.04504920542240143]",-0.144387
4,"[1.0, 0.22313016653060913, 0.03019738383591175]",-0.159952
5,"[1.0, 0.2018965184688568, 0.03337327390909195]",-0.158668
6,"[1.0, 0.1353352814912796, 0.018315639346837997]",-0.151702
7,"[1.0, 0.1353352814912796, 0.0067379469983279705]",-0.137665
8,"[1.0, 0.1353352814912796, 0.0024787522852420807]",-0.137929
9,"[1.0, 0.1353352814912796, 0.0009118819725699723]",-0.138302
10,"[0.5188744068145752, 0.20600104331970215, 0.19407464563846588]",-0.061672
11,"[0.5018856525421143, 0.21671980619430542, 0.1886533498764038]",-0.066324
12,"[0.5380276441574097, 0.21024367213249207, 0.1867295354604721]",-0.066197
13,"[0.5773501992225647, 0.21917296946048737, 0.17330318689346313]",-0.073629
14,"[0.5177803635597229, 0.25244802236557007, 0.16598497331142426]",-0.078746
15,"[0.5188743472099304, 0.13878324627876282, 0.12881344556808472]",-0.081328
16,"[0.577350378036499, 0.14996309578418732, 0.11181720346212387]",-0.098875
17,"[0.5177801847457886, 0.1789429932832718, 0.10594627261161804]",-0.110741
18,"[0.5188743472099304, 0.08470741659402847, 0.07717052102088928]",-0.067264
19,"[0.5018856525421143, 0.09169420599937439, 0.07382883131504059]",-0.074148
20,"[0.5177801847457886, 0.11638401448726654, 0.06044456735253334]",-0.101283
21,"[0.518873929977417, 0.4538738429546356, 0.44053915143013]",0.526242
22,"[0.538027822971344, 0.45852336287498474, 0.4321218430995941]",0.529994
23,"[0.5076730847358704, 0.48315101861953735, 0.4204135835170746]",0.545292
24,"[0.577349841594696, 0.46815961599349976, 0.41629713773727417]",0.544455
25,"[0.501885712146759, 0.4231003224849701, 0.3913465440273285]",0.342758
26,"[0.5076724886894226, 0.44115719199180603, 0.37725600600242615]",0.352695
27,"[0.577349841594696, 0.42578786611557007, 0.37310343980789185]",0.351263
28,"[0.5177803039550781, 0.4610217809677124, 0.36415714025497437]",0.37286
29,"[0.5188744068145752, 0.3725365996360779, 0.3589059114456177]",0.210035
30,"[0.5018858909606934, 0.3845359683036804, 0.3526065945625305]",0.210521
31,"[0.5380273461341858, 0.3773130774497986, 0.35035473108291626]",0.210464
32,"[0.5076730847358704, 0.4028133153915405, 0.3385288715362549]",0.217225
33,"[0.5773506164550781, 0.38725030422210693, 0.33439067006111145]",0.21608
34,"[0.517780065536499, 0.4230165481567383, 0.32549411058425903]",0.232344
35,"[0.5380278825759888, 0.3104861378669739, 0.2840598225593567]",0.052434
36,"[0.5773503184318542, 0.32032474875450134, 0.268599271774292]",0.052748
37,"[0.5177807211875916, 0.3561462163925171, 0.2600466012954712]",0.059984
38,"[0.5018858909606934, 0.2623682916164398, 0.2323840856552124]",-0.027204
39,"[0.5380280613899231, 0.2554951012134552, 0.23030921816825867]",-0.027153
40,"[0.5076732039451599, 0.2799915075302124, 0.2194996476173401]",-0.031
41,"[0.5773499608039856, 0.2649654150009155, 0.21575263142585754]",-0.031189
42,"[0.5188745856285095, 0.16908426582813263, 0.158112034201622]",-0.077525
43,"[0.5773502588272095, 0.18129494786262512, 0.13920588791370392]",-0.092924
44,"[0.5177804231643677, 0.21254107356071472, 0.1326102465391159]",-0.102
45,"[0.5188746452331543, 0.10320189595222473, 0.09472300112247467]",-0.075105
46,"[0.5018855333328247, 0.11100810766220093, 0.09094277024269104]",-0.082041
47,"[0.5076729655265808, 0.12352026253938675, 0.08280757814645767]",-0.09542
48,"[0.5177803039550781, 0.1382361352443695, 0.07565690577030182]",-0.108473
49,"[0.51887446641922, 0.06299008429050446, 0.05674733594059944]",-0.053835
50,"[0.5018855929374695, 0.06883712857961655, 0.054002393037080765]",-0.060303
51,"[0.5076732039451599, 0.07839525490999222, 0.048180095851421356]",-0.07329
52,"[0.577350378036499, 0.07020653784275055, 0.04654915630817413]",-0.071337
53,"[0.5177803039550781, 0.08990839868783951, 0.04316385090351105]",-0.086843
54,"[0.5188745260238647, 0.042436521500349045, 0.037665002048015594]",-0.037015
55,"[0.5018855929374695, 0.04696756228804588, 0.03559013828635216]",-0.042432
56,"[0.5380275845527649, 0.044202499091625214, 0.03486790508031845]",-0.041901
57,"[0.5076731443405151, 0.054491858929395676, 0.031239667907357216]",-0.053631
58,"[0.5177804231643677, 0.06372985988855362, 0.027550971135497093]",-0.065954
59,"[1.0, 0.23223626613616943, 0.01958482712507248]",-0.165088
60,"[0.9659258127212524, 0.12245643883943558, 0.017302779480814934]",-0.144104
61,"[0.39391931891441345, 0.3011941909790039, 0.21802303194999695]",-0.037321
62,"[0.6128349304199219, 0.24809736013412476, 0.17906880378723145]",-0.062264
63,"[0.4474690854549408, 0.2463504821062088, 0.20898950099945068]",-0.055779
64,"[0.654826283454895, 0.3178543448448181, 0.14777030050754547]",-0.057737
65,"[0.6326310038566589, 0.2973979711532593, 0.15402892231941223]",-0.064519
66,"[0.5908681154251099, 0.24660928547382355, 0.1764145791530609]",-0.066532
67,"[0.4596041142940521, 0.23480497300624847, 0.20672690868377686]",-0.05752
68,"[0.47222140431404114, 0.22313016653060913, 0.20428524911403656]",-0.058578
69,"[0.5189781188964844, 0.19440066814422607, 0.18268346786499023]",-0.068143
70,"[0.4231334626674652, 0.2463504821062088, 0.19099538028240204]",-0.070693
71,"[0.8461052775382996, 0.38876819610595703, 0.1155494749546051]",-0.014072
72,"[0.7466621994972229, 0.32868480682373047, 0.12536992132663727]",-0.062476
73,"[0.6970242857933044, 0.2914479374885559, 0.13433358073234558]",-0.077413
74,"[0.675650417804718, 0.2727258801460266, 0.14014075696468353]",-0.080969
75,"[0.6090912818908691, 0.23480497300624847, 0.16091683506965637]",-0.078892
76,"[0.4349253177642822, 0.23480497300624847, 0.18903875350952148]",-0.072035
77,"[0.5849486589431763, 0.2463504821062088, 0.14875072240829468]",-0.087547
78,"[0.9591754674911499, 0.3987143635749817, 0.0995151624083519]",-0.009456
79,"[0.8689253926277161, 0.3542196750640869, 0.1046954095363617]",-0.053322
80,"[0.7787593603134155, 0.3004998564720154, 0.11377467215061188]",-0.084239
81,"[0.7322137355804443, 0.2667338252067566, 0.12206584215164185]",-0.092769
82,"[0.5931431651115417, 0.23480497300624847, 0.14666256308555603]",-0.08991
83,"[0.4124941825866699, 0.23480497300624847, 0.17266733944416046]",-0.084551
84,"[0.9655346274375916, 0.36145707964897156, 0.09007367491722107]",-0.053875
85,"[0.886940598487854, 0.322360098361969, 0.0948501005768776]",-0.081715
86,"[0.8052003979682922, 0.2743150591850281, 0.10322534292936325]",-0.100638
87,"[0.7617895007133484, 0.24374468624591827, 0.11087661981582642]",-0.10486
88,"[0.7304279208183289, 0.23480497300624847, 0.11583531647920609]",-0.104859
89,"[0.5784658789634705, 0.23480497300624847, 0.13357804715633392]",-0.099701
90,"[0.3920571506023407, 0.23480497300624847, 0.15756064653396606]",-0.095436
91,"[0.6764812469482422, 0.24801699817180634, 0.10045435279607773]",-0.11778
92,"[0.5627701282501221, 0.24953202903270721, 0.08898432552814484]",-0.129199
93,"[0.9203309416770935, 0.012955148704349995, 0.00033546279883012176]",-0.013098
94,"[0.812319815158844, 0.3678794503211975, 0.11277259886264801]",-0.040633
95,"[0.7232548594474792, 0.3678794503211975, 0.11905156075954437]",-0.043466
96,"[0.668183445930481, 0.3678794503211975, 0.12304157763719559]",-0.044536
97,"[0.343973845243454, 0.3678794503211975, 0.14812776446342468]",-0.046563
98,"[0.9807302951812744, 0.3011941909790039, 0.09212426841259003]",-0.071453
99,"[0.8270715475082397, 0.3011941909790039, 0.10389596968889236]",-0.088352
100,"[0.7445605397224426, 0.3011941909790039, 0.11062519252300262]",-0.090902
101,"[0.6933751702308655, 0.3011941909790039, 0.11494161188602448]",-0.091485
102,"[0.38887274265289307, 0.3011941909790039, 0.14279520511627197]",-0.090883
103,"[0.3162277936935425, 0.3011941909790039, 0.14996302127838135]",-0.090787
104,"[1.0, 0.3330375850200653, 0.08204396814107895]",-0.076753
105,"[0.8389819860458374, 0.24770024418830872, 0.09554423391819]",-0.109899
106,"[0.7639025449752808, 0.2463504821062088, 0.1025480180978775]",-0.111578
107,"[0.7163673043251038, 0.2463504821062088, 0.1070789322257042]",-0.111104
108,"[0.5570996403694153, 0.2463504821062088, 0.12323598563671112]",-0.107043
109,"[0.9704548120498657, 0.32757049798965454, 0.0815257877111435]",-0.084967
110,"[0.9014127254486084, 0.29309865832328796, 0.08592191338539124]",-0.102215
111,"[0.8272085785865784, 0.2501071095466614, 0.09363321959972382]",-0.113186
112,"[0.7682386040687561, 0.23480497300624847, 0.10067978501319885]",-0.114524
113,"[0.564929723739624, 0.23480497300624847, 0.12158777564764023]",-0.108395
114,"[1.0, 0.386741042137146, 0.07065122574567795]",-0.053937
115,"[0.9539100527763367, 0.36663883924484253, 0.07206021994352341]",-0.073599
116,"[0.7583793997764587, 0.26153790950775146, 0.08415244519710541]",-0.12444
117,"[0.6887443661689758, 0.21021004021167755, 0.095980703830719]",-0.12201
118,"[0.6034796237945557, 0.18268351256847382, 0.11298752576112747]",-0.108455
119,"[0.427006334066391, 0.18268351256847382, 0.13661304116249084]",-0.098393
120,"[0.6764814257621765, 0.22848744690418243, 0.08775278925895691]",-0.127615
121,"[0.6061232089996338, 0.229875385761261, 0.08097171038389206]",-0.133213
122,"[0.4856429696083069, 0.1353352814912796, 0.1275654286146164]",-0.079747
123,"[0.2991563677787781, 0.21433179080486298, 0.04978708177804947]",-0.154585
124,"[1.0, 0.30866459012031555, 0.07247598469257355]",-0.101238
125,"[0.9743490219116211, 0.2967853844165802, 0.07378742843866348]",-0.106894
126,"[0.9132179617881775, 0.266303151845932, 0.07782726734876633]",-0.117194
127,"[0.8385730981826782, 0.23480497300624847, 0.08491560816764832]",-0.122753
128,"[0.7132671475410461, 0.23480497300624847, 0.09559376537799835]",-0.121154
129,"[0.5524184107780457, 0.23480497300624847, 0.11061567068099976]",-0.116073
130,"[0.35629186034202576, 0.23480497300624847, 0.13088379800319672]",-0.113299
131,"[0.7117601633071899, 0.3678794503211975, 0.09780286252498627]",-0.06366
132,"[0.6546536087989807, 0.3678794503211975, 0.10113610327243805]",-0.064184
133,"[0.24253563582897186, 0.3678794503211975, 0.12725621461868286]",-0.065038
134,"[0.26515647768974304, 0.33287107944488525, 0.125651016831398]",-0.091803
135,"[0.9190666079521179, 0.3011941909790039, 0.07907073944807053]",-0.105785
136,"[0.8184171319007874, 0.3011941909790039, 0.0853402242064476]",-0.108543
137,"[0.7320384383201599, 0.3011941909790039, 0.09098990261554718]",-0.109128
138,"[0.6785510778427124, 0.3011941909790039, 0.09461252391338348]",-0.109178
139,"[0.2873478829860687, 0.3011941909790039, 0.12392715364694595]",-0.108023
